,title,text,url
0,Product Manager (all genders) for Trade Finance,"Working with us means believing in the future; in the great people who are shaping it together every day and in the wide-ranging career paths it opens up. #believeinyourself Product Manager (all genders) for Trade Finance Location: Vienna Working-Hours: Full-time Occupation Area: Financial markets Company: Erste Group Bank AG Erste Group was founded in 1819 as the first Austrian savings bank and today it is one of the largest banking groups in Central and Eastern Europe (CEE). As an attractive employer, Erste Group offers interesting career opportunities in an international environment. Product Management for Trade, Export and Supply Chain Finance is part of Group Product and Business Management for Corporate & Markets for EBOe and Holding. The team works closely with Transaction Banking Sales in specific client cases and covers all tasks regarding product developments, ongoing product maintenance, support of the proper set-up in the systems for booking and controlling and training activities. Your Tasks Work together with the product managers on design and specification of new products & services and enhancement of existing ones Prepare and support product and budget approvals Deliver product descriptions, workflow descriptions and instructions, product pricing, product reporting, web-page and intranet display of the Trade Finance products Write, align and train guidelines on specific issues like for legal, tax or compliance purposes Support the sales team with input for sales pitches, marketing folders and answers to client requests Support in preparation and execution of product launch activities, including technical testing Responsibility for the screening of the product usage and definition of target client patterns for specific products Identify and implement service and quality improvement measures Offer an active service level management with business partners Observe and analyze the market environment and trends particularly in the Supply Chain Finance area and exchange knowledge with team colleagues Your Background 5 years working experience in banking or corporate Trade Finance department A university degree in either Economics and Business Administration, Law or Science/Technology, or equivalent business experience or qualification Experience and product knowledge in depth for standard Trade Finance products like guarantees and letter of credits Knowledge of structured Trade Finance products like inventory or commodity finance would be beneficial Strategic, conceptual and analytical thinking capabilities Precise and accurate working style and high quality orientation Team player and you have the ability to connect and establish working relationships with many parties quickly Fluent in German and English for both verbal and written communication, other language of Erste Group home market would be an advantage Our Offer An interesting and diversified field of activity in a dynamic and innovative team of transaction banking specialists You will be actively involved in the development, implementation and ongoing management of transaction banking products Insights into various areas of the banking business and you have the chance to follow a career path of continuous learning and development Discover and enjoy the benefits of Erste Group The minimum wage for this full-time position in accordance with the collective agreement with complete fulfillment of the functional profile is EUR 40.635,-- gross per year. But this is just a formality - we would be happy to talk about your actual salary in person! We offer our employees the opportunity to divide their hours between working from home and at the office. Erste Group considers the diversity of its employees as key to innovation and success. As employer we are proud to offer everyone equal chances, irrespective of age, skin colour, religious belief, gender, sexual orientation or origin. Apply online Jetzt bewerben",https://www.itstellen.at/j/6566810
1,Business Analyst for IT Delivery Accounting (f/m/d),"BUSINESS ANALYST FOR IT DELIVERY ACCOUNTING (F/M/D)
1030 Wien
Raiffeisen Digital Bank
Released:
23.12.2022 Are you interested in financial markets? Then your place is with us!
We are a team of professionals with a start-up culture in charge of one of the largest digital innovation projects in our banking group. We have plans to build new digital banking end-to-end customer journeys and to roll banking service out across multiple CEE countries. We are looking for a motivated candidate who supports our Finance team in Vienna as a: BUSINESS ANALYST FOR IT DELIVERY ACCOUNTING (F/M/D)
YOUR RESPONSIBILITIES Act as product owner for accounting to ensure a proper setup and operation of IT and business processes Preparation of booking rules for retail products in accordance with group standards and alignment with accounting colleagues Setting of agreed accounting rules in core banking system and subsequent testing of transactions and accuracy of respective bookings Shape the Finance IT architecture together with our IT and business experts Collection and alignment of IT requirements with stakeholders, maintenance, and prioritization of the product backlog YOUR QUALIFICATION Data analysis and processing skills - ideally experience in Jira, SQL, SAP and Mambu Prior experience in the Banking industry, IT-audit area or similar with IFRS/UGB knowledge Basic understanding of retail banking products (e.g. consumer loans, saving accounts, cards) Experience as a Product Owner or Business Analyst an asset Highly analytical and ability to clearly define requirements and prioritize requests Very good command of English and good German language skills appreciate OUR OFFER Depending on your concrete skills and experience we offer a compensation package starting from gross EUR 50,000.00 p.a. including overtime (All-In). Company benefits include home office possibility, job ticket, RCB vouchers, corporate benefit world, subsidized canteen and a lot more A stable work environment within an innovative field of business with plenty of room for you to bring in your ideas and to grow professionally Due to the restructuring of our digital applying process we are currently only able process applications we receive via mail. Let us know you are interested and send us your application to jobs@raiffeisendigital.com. ABOUT RAIFFEISEN Digital Bank
Raiffeisen Digital Bank AG is a subsidiary of Raiffeisen Bank International AG, based in Vienna, and offers digital banking products and services in Central and Eastern Europe. We made it our mission to create a trusted bank with a truly human touch that meets customers' basic needs quickly and easily. We are proud of what we have achieved so far and have very ambitious goals for the future. Those where everything comes together, those who shape our past and our future: The team! We are proud of the diversity of our employees. Equal opportunities are a matter of course for us. Our career paths are accessible to all - regardless of origin, sexual orientation, culture, gender, age, political or religious conviction or disability. Raiffeisen Digital Bank AG Member of RBI Group Am Stadtpark 9, 1030 Vienna, Austria Apply now via jobs@raiffeisendigital.com! Mit karriere.at bewerben",https://www.itstellen.at/j/6570467
2,(Junior) IT-Consultant Banking (m/w/x),"(Junior) IT-Consultant Banking (m/w/x)
Standort: Wien, ICON TOWER | Anstellung: Vollzeit | ab sofort BearingPoint ist eine der führenden internationalen Management- und Technologieberatungen, die Beratungs Know How und IT Kompetenz auf einzigartige Weise vereint. Mit weltweit 4.300 Mitarbeiter:innen entwickeln wir digitale Strategien und Geschäftsmodelle, optimieren Prozesse und konzipieren IT-Architekturen für führende Unternehmen aller Branchen und Organisationen der öffentlichen Hand. Wir verstehen uns als wichtiger Partner unserer Kund:innen und begleiten diese nachhaltig auf ihrem erfolgreichen Weg ins digitale Zeitalter. In Österreich sind wir mit 300 Mitarbeiter:innen an den Standorten Wien und Graz vertreten. Wir suchen laufend die besten Köpfe für unsere spannenden nationalen und internationalen Projekte. Du berätst unsere Kund:innen aus dem Firmen-Büro, Home-Office, oder direkt beim Kunden oder der Kundin vor Ort im Hinblick auf die digitale Transformation in der Bankenwelt, bei der du eine wichtige Position übernimmst. Du arbeitest dabei zusammen mit einem agilen und leistungsstarken Team zusammen, das aus Developern, Software-Architekten, und Consultants besteht. Mit dessen Unterstützung erarbeitest du gemeinsam Strategien zur digitalen Transformation in den jeweiligen Bereichen (wie z.B. Controlling, Risk Management, Accounting). Deine Aufgaben: Schnittstellenfunktion zwischen Fach-, IT-Abteilung und Softwareentwicklung Technologische Beratung und Evaluierung der Einsetzbarkeit von Softwarelösungen im Banking Konzipierung technischer Lösungen in Zusammenarbeit mit unseren branchenführenden Kund:innen Unterstützung unsere Kund:innen bei Digitalisierung und Transformationsprojekten sowie deren Einsetzbarkeit Analyse von daten-/softwarebezogenen Problemen, Prozessunterstützung vor Ort bei Kund:innen Damit punktest du bei uns: Abgeschlossenes Studium der (Wirtschafts-) Informatik, Informationswissenschaften o.Ä. Kenntnisse in relationalen Datenbanksystemen und SQL Erste Erfahrungen mit Programmiersprachen (VBA, Java, JavaScript, C, C++, etc.) Hohe IT-Affinität und Bereitschaft zur Aneignung neuer Technologien (Event Streaming, Cloud, RPA, etc.) Ausgeprägte kommunikative Kompetenz, sowie Freude am Arbeiten in einem dynamischen Umfeld Zuverlässige, analytische und selbstständige Arbeitsweise Bereitschaft zu nationaler und internationaler Reisetätigkeit Gute Deutsch- und Englischkenntnisse in Wort und Schrift Damit punkten wir bei dir: Berufliche Vielfalt, hohe Eigenverantwortung und gelebtes Miteinander sowie Fokus auf Nachhaltigkeit Individuelle und aktive Karriereförderung unterstützt durch umfassende Trainings- und Weiterbildungsprogramme Inspirierende Projekte an der Schnittstelle Consulting und IT in unterschiedlichen Branchen weltweit Laptop (Windows oder MacBook) für den beruflichen und privaten Gebrauch, Essensgutscheine im Wert von 8EUR (Sodexo) und Übernahme des Jobtickets / Zuschuss Klimaticket Flexible Homeoffice- und Arbeitszeitgestaltung, ortsunabhängiges Arbeiten und zahlreiche zusätzliche Benefits Du hast bei uns die Möglichkeit, basierend auf deiner individuellen Leistung aktiv dein Gehalt zu beeinflussen. Dieses startet bei EUR 3.000,- brutto pro Monat. Gerne sind wir bereit je nach Qualifikation und Erfahrung ein höheres Gehalt anzubieten. Haben wir dein Interesse geweckt? Weitere Informationen findest du unter Finance und Regulatory Let's grab lunch! Registriere dich für einen informellen Austausch mit unseren Mitarbeiter:innen über CareerLunch. Wir freuen uns auf deine Bewerbung online oder per Mail. www.bearingpoint.com Bei Fragen steht dir unser Recruiter Florian Lenz gerne zur Verfügung: +43 1 50632 5117 oder people@bearingpoint.com BearingPoint, Wiedner Gürtel 13/Turm 24, 1100 Wien 1 Klick-Bewerbung Jetzt bewerben",https://www.itstellen.at/j/6026236
3,Data Governance & Security Analyst m/w/x,"DON ́T LIMIT YOUR CHALLENGES - CHALLENGE YOUR LIMITS
Data Governance & Security Analyst
m/w/x • Homeoffice-Möglichkeit • Klagenfurt oder Wien
SCHNELLER, FLEXIBLER, BESSER. WIR SETZEN NEUE BANKSTANDARDS. DAZU SUCHEN WIR MACHER UND GESTALTER!
Bankinnovationen entstehen hier! Die Anadi Bank AG ist eine Challengerbank mit den Geschäftssegmenten Retail Banking, Digital Banking, Corporate Banking und Public Finance. anadibank.com Auszeichnungen cfi 2021 - Best Digital Banking Solution Winner Austria ÖGVS Testsieger Online-Ratenkredite (Test 12/2021, im Test: Konditionen & Service) Innovativste Bank Österreichs: Branchenranking vom Fachmagazin Börsianer Hier können Sie Erfolg gestalten Aufbau von Lösungen in den Bereichen Business Intelligence, (Meta)Data Management und Data Analytics Datenmodellierung und Unterstützung bei Datenvisualisierung (z. B.: PowerBI) Identifikation von Defiziten der Datenqualität in Datenquellen und fehlender Metadaten im Metadatenmanagement-Tool Umsetzung der strategischen Vorgaben der Data Governance Erstellen und Pflegen notwendiger Dokumentationen im Zusammenhang mit (Meta) Data Management und Data Governance Eine gute Basis für Ihre Karriere Abgeschlossenes Informatik- oder Wirtschaftsstudium oder vergleichbare Ausbildung Mehrjährige Erfahrung im Bereich Datenselektionen, optimalerweise im Bank-, Dienstleistungs-, bzw. Versicherungswesen Tiefgreifende Kenntnisse und mehrjährige Erfahrung in der Datenbankentwicklung und/oder Datenanalyse Fundierte SQL-Kenntnisse und Erfahrung mit Datenbanken Sehr gute Kommunikationsfähigkeiten Deutsch auf hohem Niveau in Wort und Schrift, sowie sehr gute Englischkenntnisse Sehr gute IT-Anwenderkenntnisse, insbesondere MS-Office Ausgeprägtes Zahlenverständnis sowie sehr gute analytische Fähigkeiten Zielorientiertes Denken sowie Zuverlässigkeit und Genauigkeit Teamfähig, strukturiert und serviceorientier Setzen Sie den ersten Schritt in die Welt der Bankinnovationen
Für Rückfragen zur ausgeschriebenen Position wenden Sie sich bitte an: Frau Angelika Lang, MSc, Tel. 050202 DW 6946. Erforderliche Angaben gem. § 9 GleichbehandlungsG: Mindestbruttogehalt EUR 40.000 p.a. - Überzahlung je nach Qualifikation und Berufserfahrung. Jetzt bewerben",https://www.itstellen.at/j/6623384
4,Senior Business Analyst - Supply Chain Finance Solution (all genders),"""I believe that my own motivation is the best drive.""
So do we. Bei der Intermarket Bank zu arbeiten, bedeutet, ein gemeinsames Ziel vor Augen zu haben, für gemeinsame Werte zu brennen. Wir begegnen einander mit Respekt, Empathie und Verständnis für die unterschiedlichsten Lebensgeschichten. Das gilt für die Zusammenarbeit mit unseren Kund:innen genauso wie mit Kolleg:innen. Senior Business Analyst - Supply Chain Finance Solution (all genders)
Dienstort: Wien Arbeitszeitausmaß: Vollzeit Berufsfeld: IT Unternehmen: Intermarket Bank AG Die Intermarket Bank AG der Erste Group ist die Spezialbank für Factoring und Supply Chain Finance der Erste Bank und Sparkassen. Sie betreut rund 400 Kunden der mittelständischen Wirtschaft und Großkunden. Die Abteilung „Organisation & IT"" erbringt IT Dienstleistungen rund um die Steuerung und Überwachung der SCF Core-Banking Applikationen. Neben der Steuerung unserer IT - Dienstleister und der Weiterentwicklung von Systemfunktionen ist unser oberstes Ziel einen stabilen Betrieb zu gewährleisten. Die Tasks Die Schnittstelle zwischen Bank und IT und Erfahrungen in den Bereichen Requirements Engineering und Product Ownership Verständnis sowohl die IT-System Architektur als auch die Fachbereichsprozesse und die Auswirkungen von Lösungen Teil eines Teams, dass schwerpunktmäßig für den IT Bankbetrieb und deren Support verantwortlich ist Tätigkeiten in einem hybriden Setup, das die Vorteile von agilen und herkömmlichen Methoden verbindet Enger Kontakt mit dem Hersteller der Core-Systeme und dem IT Inhouse Provider, der für den Betrieb der IT Infrastruktur und deren Schnittstellen verantwortlich ist Ihr Background Mehrjährige Erfahrung im Banken- und Informationstechnologie Sektor Hintergrundwissen im Umfeld von Corporate Banking Solutions Fundierte Berufserfahrung bei der Aufnahme und Beschreibung von Anforderungen und der Modellierung von IT-Geschäftsprozessen Das stete im Blick haben des end-to-end Prozesses ist eine Selbstverständlichkeit Spaß an der Analyse, Implementierung und Umsetzung von Systemstörungen und Erweiterungen, um einen reibungslosen IT Bankbetrieb sicherzustellen Sehr gute Kenntnisse und einschlägige Erfahrung in der Workflow-Beschreibung Gutes SW-Qualitätssicherungs- bzw. SW-Testing-Know-how und idealerweise Erfahrung in der Umsetzung funktionaler SW-Tests SQL Kenntnisse sowie Erfahrungen in den Bereichen Zahlungsverkehr, Supply Chain Finance Lösungen, Schnittstellen zu Finanzdatenprovidern oder Regulatory Reporting von Vorteil Motiviert ständig Ihr Know-How im Bereich des Bankproduktes und deren Abbildung in der IT Architektur und deren Systemen zu erweitern Teamfähigkeit, Verlässlichkeit und Belastbarkeit zeichnen dich aus, ebenso wie hohe Eigenmotivation und die Fähigkeit komplexe Zusammenhänge zu analysieren und allgemein verständlich zu erklären Sehr gutes Zahlenverständnis Sehr gute Deutsch- und Englischkenntnisse Unser Angebot Sie übernehmen eine sehr interessante, abwechslungsreiche und verantwortungsvolle Aufgabe einer Spezialbank überschaubarer Größe, mit den Vorteilen des Erste Bank Konzerns Erfahren eines breiten Spektrums und gesamthaften Überblicks der Abläufe in der Organisation am Puls des Geschäfts Mit Ihrer fachlichen Kompetenz und Engagement arbeiten Sie am weiteren Ausbau eines für die Erste Group sehr wichtigen Finanzierungsproduktes mit. Das Arbeiten in einem hands-on Umfeld einer Organisation mit langjährigen, erfahrenen Mitarbeiter:innen Entdecken Sie die zusätzlichen Benefits der Erste Group (zB. Home-office, variable Arbeitszeitregelungen) Einstufung und Gehalt werden wir auf Grundlage Ihrer fachlichen und persönlichen Kompetenz marktkonform und leistungsgerecht vereinbaren - das Mindestgehalt für diese Position beträgt laut KV-Einstufung EUR 37.312,- brutto pro Jahr Online bewerben Jetzt bewerben",https://www.itstellen.at/j/6557378
5,"Student Job (f/m/x ) - Financial Institutions Analysis Dept, FCPM (20hrs/week)","Studentenjob (f/m/x) - Financial Institutions Analysis Dept, FCPM (20h/Woche)
You're in the middle of your studies and you think: I'd like to get some hands-on experience. It would be good to work with experienced colleagues in finance area. It certainly would add points on my CV - or my bank balance, for that matter. If this sounds like you, then take a look at our job opportunities for students and get to know the international world of banking. as soon as
possible part-time
(20h/week) viennaoffice Your role with us in the team: Support in analyzing current news on banks, financial institutions companies and banking markets in CEE and other European countries Monitoring banking news on the key European markets Assisting with financial spreadings and analysis Participating in the preparation of rating analysis for banks and other types of FIs Insight on the daily work of rating analysis for Financial institutions for the CEE region and other European countries This job is made for you, if ... You are actively studying at a university or university of applied sciences in the field of finance, statistic or similar You have a good understanding of financial statements, and basic principles of banking theory You have good quantitative skills (e.g experience/learning in quantitative analysis, coding skills in R or Python or SQL, , working with databases, etc) You have very good Microsoft Office skills (Word, PowerPoint; Excel) You have an excellent command of English, good command of German is a plus What's in it for you? Extensive learning of credit analysis for banks and financial institutions in multi-country domain Get trained on basic risk management principles within banks and financial institutions domain Work & Study: gain experience in the international banking environment & boost the balance of your bank account Flexibility: adapt your working hours to your university schedule and balance on-site and home-office days Onboarding: enjoy an easy start - a buddy from your team will take you along Community: network internally with other students Canteen: healthy, tasty, and heavily subsidized Corporate Benefits: shopping vouchers from the staffs' council (eg. supermarkets), free museum tickets, attractive sports offers, reduced fitness center membership, free public transport pass etc. We pay an attractive monthly student salary of gross EUR 2,049.64 (on a basis of 38.5 hours) Would you like to know what it feels like working for RBI while studying? Check out our videos and see what your future colleagues say about us. At Raiffeisen Bank International, we are pleased to have more than 17 million customers in Austria and 12 other CEE countries - what got us here, are our talented people. From the moment you join RBI, you will notice our commitment to creating a working environment where everyone can thrive. Diversity and inclusion are essential components of our vision and mission and are reflected in our values: collaboration, proactivity, learning and responsibility. Our shared mission is to provide a superior customer experience by tackling new issues such as digitalization and changing needs. For questions regarding our application process, please feel free to take a look on our website our check out our FAQ. If you have any other questions, feel free to contact Cara Vucinic. Check out our RBI Account on LinkedIn! Jetzt bewerben",https://www.itstellen.at/j/6608660
6,(Senior) Consultant Core Banking Platform (m/f/x),"(Senior) Consultant Core Banking Platform (m/f/x)
Location: Vienna ICON | Tower Employment: Full-time | Effective immediately | Remote possible BearingPoint is Austria's largest management and technology consultancy. With 4,500 employees worldwide, we develop digital strategies and business models, optimize processes and design IT architectures for leading companies. We see ourselves as an important partner for our clients and accompany them on their successful journey into the digital age. In Austria we are represented by 300 employees at our locations in Vienna and Graz. We are constantly looking for the best minds for exciting national and international projects. Your future areas of responsibility include: Delivery of challenging core banking transformation and implementation projects of (inter)national financial service providers with the market leading experts Analysis of existing business value chains and IT landscapes as well as designing functional and technical target architectures and development of viable solution-based approaches Specialization in all aspects of core banking platform including vendor packages and contribution of the expertise across the entire project lifecycle - requirements, architecture, data models, interfaces and integrations Supporting the collaborative preparation of decision-making documents for top management Development of innovative end-to-end solutions Development and preparation of customer proposals as well as presentations Your qualifications: Completion of university degree (Bachelor, Master, MBA, Doctorate) in e.g. (business) informatics, business administration, mathematics, physics A fair understanding of banking functions and processes as well as core banking systems Experience with complex transformation projects - core banking system migration know-how is a plus, not a must Willingness to learn new banking topics and technologies Strong communication skills and commitment in working in a dynamic environment Reliable, analytical and independent way of working Willingness to travel nationally and internationally Good knowledge of German and English, both written and spoken Our offer: Professional diversity, a high degree of personal responsibility and a lively working atmosphere Individual and active career advancement supported by comprehensive training programs Inspiring projects at the interface of consulting and IT in different industries worldwide Laptop for professional and private use, meal vouchers (Sodexo) Flexible working hours and numerous additional benefits With us, you have the opportunity to actively influence your salary based on your individual performance. For this position it starts at EUR 3.500,- gross per month. We are prepared to offer a higher salary depending on your qualifications and experience. Have we aroused your interest? You can find further information at Finance und Regulatory. Let's grab lunch! Register for an informal exchange with one of our employees via CareerLunch.We look forward to receiving your application online or by e-mail.www.bearingpoint.com If you have any questions, please contact our recruiter Florian Lenz: +43 1 50632 5117 or people@bearingpoint.com BearingPoint, Wiedner Gürtel 13/ Turm 24, 1100 Wien Vienna 1 Klick-Bewerbung Jetzt bewerben",https://www.itstellen.at/j/5869793
7,Accounting Specialist (f/m/d),"Accounting Specialist (f/m/d)
1030 Wien
Raiffeisen Digital Bank
Released:
31.01.2023 Are you interested in financial markets? Then your place is with us!
We are a team of professionals with a start-up culture in charge of one of the largest digital innovation projects in our banking group. We have plans to build new digital banking end-to-end customer journeys and to roll banking service out across multiple CEE countries. We are looking for a motivated candidate who supports our Finance team in Vienna as a: ACCOUNTING SPECIALIST (F/M/D)
YOUR RESPONSIBILITIES Act as a product owner for accounting to ensure a proper setup and operation of processes Preparation of booking rules for retail products in accordance with group standards and alignment with accounting colleagues Setting of agreed accounting rules in core banking system and subsequent testing of transactions and accuracy of respective bookings Shape the Finance IT architecture together with our IT and business experts Collection and alignment of IT requirements with stakeholders, maintenance, and prioritization of the product backlog YOUR QUALIFICATION Data analysis and processing skills - ideally experience in Jira, SAP and/or Mambu IFRS knowledge is a must, UGB knowledge is an asset Prior experience in the Banking industry, audit area or similar Basic understanding of retail banking products (e.g. consumer loans, saving accounts, cards) Highly analytical and ability to clearly define requirements and prioritize requests Very good command of English and good German language skills appreciated OUR OFFER Depending on your concrete skills and experience we offer a compensation package starting from gross EUR 50,000.00 p.a. including overtime (All-In). Company benefits include home office possibility, job ticket, RDB vouchers, corporate benefit world, subsidized canteen and a lot more A stable work environment within an innovative field of business with plenty of room for you to bring in your ideas and to grow professionally ABOUT RAIFFEISEN DIGITAL BANK
Raiffeisen Digital Bank AG is a subsidiary of Raiffeisen Bank International AG, based in Vienna, and offers digital banking products and services in Central and Eastern Europe. We made it our mission to create a trusted bank with a truly human touch that meets customers' basic needs quickly and easily. We are proud of what we have achieved so far and have very ambitious goals for the future. Those where everything comes together, those who shape our past and our future: The team! We are proud of the diversity of our employees. Equal opportunities are a matter of course for us. Our career paths are accessible to all - regardless of origin, sexual orientation, culture, gender, age, political or religious conviction or disability. Raiffeisen Digital Bank AG Member of RBI Group Am Stadtpark 9, 1030 Vienna, Austria Apply now via jobs@raiffeisendigital.com! Mit karriere.at bewerben",https://www.itstellen.at/j/6614999
8,Scrum Master (all genders),"Make a difference in the financial life of millions of people: At Erste Digital you are co-creating the digital future, in which better financial health is possible. #believeinyourself Scrum Master (all genders) Location: Vienna Working-Hours Full-time Occupation Area: IT Company: Erste Digital We are part of Erste Group - the largest banking group in Central and Eastern Europe with more than 2,500 branches and over 45,000 employees. Our more than 2,000 IT experts and enthusiasts are the bank's Digital Muscle. With top notch technology, we drive the realization offers the Group's vision: To provide human banking in digital times, and to build Financial Health for over 16 million customers in the CEE region.We aim to attract and develop the best talent and aspire to be an IT employer beyond compare. We are Erste Digital. We are #digitaltotheheart Digital Advisory People and Culture is providing national and international IT project and operational delivery in the fields of Human Capital Management as well as Finance and Accounting mainly with the product portfolio of SAP. What to do: Foster agile mindset, facilitate and participate in relevant SCRUM ceremonies Create a safe space that supports collaboration, knowledge sharing and a healthy feedback culture Identify obstacles and actively work towards eliminating them Be curious, with open-mind, ready to motivate the team and invite them for experimentation in the search of what practices fit the best for them You check these boxes: At least 3 years of practical experience as a scrum master in software development teams with a certification Competences with various Agile methods, frameworks and tools, proficient with JIRA Knowledge of best practices that help the team to reach a sprint goal (like retrospective action items, burn-down or burn-up charts) Fluent English speaker Why you will like us: Possibility to benefit and learn from our international, talented and passionate community at Erste Interest groups and clubs: Take part in discussions and get involved in projects. Numerous interest groups invite you to engage with a topic Good food: Healthy nutrition and good food are important for our quality of life. With seven restaurants and cafeterias, there's something to suit every taste on the Erste Campus Health Centre - The Erste Campus operates a fully equipped health center that offers all employees a high standard of medical services during working hours. New way of work: With our flexible working hours model we want to make your life less complicated. Combing the best of both worlds, remote and company time. Employee benefits - Benefit from special conditions for financial services and insurances, supermarkets, clothing stores and many more. Employee Referral Program - Become a talent scout for career opportunities in IT. We are rewarding every successful referral for Erste Digital Language courses for German & English - Learning a new language unites. We support you with appropriate language courses where you participate together with your colleagues. Visa Sponsoring - We support our employees with all the formalities associated with a relocation Work-Life-Balance - Home office, paternity leave, sabbatical, sports courses -- we support you in balancing work, family and leisure time a competitive and performance-related salary dependent on your professional and personal qualifications is granted - the minimum wage for this position in accordance with the respective collective agreement is EUR 56.448,-- gross per year. But this is just a formality - we would be happy to talk about your actual salary in person! Erste Group considers the diversity of its employees as key to innovation and success. As employer we are proud to offer everyone equal chances, irrespective of age, skin colour, religious belief, gender, sexual orientation or origin. Apply online Jetzt bewerben",https://www.itstellen.at/j/6628325
9,Identity & Access Management Security Engineer (all genders),"Make a difference in the financial life of millions of people: At Erste Digital you are co-creating the digital future, in which better financial health is possible. #believeinyourself Identity & Access Management Security Engineer (all genders) Location: Vienna Working-Hours Full-time Occupation Area: IT Company: Erste Digital The future of banking is digital, and IT is the key to this change. Erste Digital is the digital enabler that drives innovative IT solutions for Erste Group, the leading banking group in CEE. Our service involves ""run the bank"" as well as ""change the bank"" activities. Our more than 2,000 IT experts and enthusiasts deliver best-in-class IT solutions and services to all Erste Group entities and by this directly to Erste Group's more than 16 million customers. Are you ready to work for one of the most innovative and largest IT companies in the CEE region? Then hit the ""apply now"" button. Erste Group's Cyber Defense Center (CDC) provides security services for business partners in Austria and CEE, with a strong focus on protecting IT and data assets. The CDC is performing a broad array of security activities and is responsible for maintaining a secure IT landscape, especially in the digital banking area of Erste. We are now looking for a full time Security Engineer in the field of Identity & Access Management to expand our team of likeminded security experts in terms of maintaining a secure IT landscape and a secure journey to the cloud. A vibrant team and agile, savvy and multifunctional opportunities are waiting for you. Your Challenges You and the team are responsible for configuration and operation of the privileged access management (PAM) infrastructure according to security requirements and best practises You will analyze, align and propose IAM/PAM improvements and are comfortable implementing and operating the required tools and infrastructure You will be writing scripts to automate application deployment, access APIs, etc. You will research latest and future Authentication and Authorisation methodologies and support the design of effective Identity & Access Management (IAM) Architecture You are going to contribute to the implementation of IAM/PAM technology and processes in cooperation with subject matter experts and developers Your Background You bring an understanding of digital services and their Cyber Security implication You are able to follow Security by Default and Security by Design principles Experience with agile project methodologies is welcome You are open to new challenges and to work in a diverse environment You are a service-, action-oriented and have results-driven personality You understand modern authentication and authorization protocols and their cyber security resilience You are familiar with IT architecture and engineering, and are eager to contribute to (security) operations Previous experience with CyberArk products is appreciated Experience with Windows administration, managing IIS, etc. is a plus Knowledge in digital banking and finance is a plus An acceptable level of English is required for teamwork, basic skills in German is welcome but not required You will like us, because we offer The opportunity to work in a progressive banking IT area and to develop your own areas of responsibility and to take on responsibility yourself Care, collegial working atmosphere characterized by mutual appreciation, team spirit and fun at work Possibility to benefit and learn from our international, talented and passionate community at Erste Great learning curve through ownership and creative freedom Interest groups and clubs: Take part in discussions and get involved in projects. Numerous interest groups invite you to engage with a topic Good food: Healthy nutrition and good food are important for our quality of life. With seven restaurants and cafeterias, there's something to suit every taste on the Erste Campus Health Centre - The Erste Campus operates a fully equipped health center that offers all employees a high standard of medical services during working hours. New way of work: With our flexible working hours model we want to make your life less complicated. Combing the best of both worlds, remote and company time. Employee benefits - Benefit from special conditions for financial services and insurances, supermarkets, clothing stores and many more. Employee Referral Program - Become a talent scout for career opportunities in IT. We are rewarding every successful referral for Erste Digital Language courses for German & English - Learning a new language unites. We support you with appropriate language courses where you participate together with your colleagues. Visa Sponsoring - We support our employees with all the formalities associated with a relocation Work-Life-Balance - Home office, paternity leave, sabbatical, sports courses -- we support you in balancing work, family and leisure time The minimum wage for this full-time position in accordance with the collective agreement with complete fulfillment of the functional profile is EUR 56.448,-- gross per year. But this is just a formality - we would be happy to talk about your actual salary in person! Interested?
We would like to fill this position as soon as possible - apply now! Apply online Jetzt bewerben",https://www.itstellen.at/j/6628121
