,title,text,url
0,"Örtliche Bauaufsicht (m/w/d) im Bereich Heizung, Klima, Lüftung und Sanitär bei Gebäudetechnik Kainer GmbH | karriere.at","Örtliche Bauaufsicht (m/w/d) im Bereich Heizung, Klima, Lüftung und Sanitär Wer sind wir:Wir sind ein etabliertes, wachsendes Unternehmen im Bereich der Gebäudetechnik und begleiten Bauprojekte von der Planung haustechnischer Anlagen (Vorplanung, Ausschreibung Projektplanung) bis hin zur Fachbauaufsicht inkl. Endabnahme. Zur Stärkung unseres Teams am Unternehmensstandort in unserem Büro in Wien, 2. Bezirk, suchen wir ab sofort Unterstützung in der örtlichen Bauaufsicht im Ausmaß einer Vollzeitbeschäftigung von 40 Stunden pro Woche.Was sind Ihre zukünftigen Aufgaben:Kontrolle der Umsetzung von geplanten Projekten im Bereich HKLSTeilnahme an BaubesprechungenKontrolle der Einhaltung von TerminplänenÜberwachung der Projektdurchführung auf Übereinstimmung mit den Plänen, geltenden Normen bzw. Richtlinien und LeistungsverzeichnissenMängelfeststellung und Software unterstützte Erstellung von BerichtenÜberprüfung und Nachverfolgung von Mehr- und MinderkostenRechnungs- und DokumentationsprüfungMitwirkung bei Abnahmen und ÜbergabenDiese Aufgaben erfordern Fähigkeiten auf unterschiedlichen Ebenen:Abgeschlossene technische Ausbildung wie HTL Gebäudetechnik und Energieplanung, FH Gebäudetechnik, FH Energie- und Umweltmanagement oder einschlägige BerufsausbildungMehrjährige Berufserfahrung im Bereich der GebäudetechnikB-FührerscheinKommunikationsstärke und organisatorische FähigkeitenEigenverantwortliche und sorgfältige ArbeitsweiseWas sind unsere Werte / Was können wir Ihnen bieten:In einem modernen Büro bieten wir Ihnen ein soziales Arbeitsumfeld, das auf flexiblen Arbeitszeiten sowie einem wertschätzenden, respektvollen und vertrauensvollen Umgang miteinander basiert. Eine Mischung aus Eigenverantwortung und Zusammenarbeit zeichnet unser gutes Arbeitsklima aus. In Ihrer zukünftigen Funktion sind Sie Teil eines dynamischen Teams, das namhafte und innovative Projekte abwickelt. Es erwartet Sie ein über dem im Kollektivvertrag für Information und Consulting geregeltes Gehalt von mindestens 3.000 Brutto/Monat mit der Bereitschaft zur Überzahlung je nach Qualifikation und positionsrelevanter Berufserfahrung.Wir freuen uns auf Ihr Bewerbungsschreiben inkl. Lebenslauf, welches Sie bitte per E-Mail an office@tbkainer.at adressieren. Gebäudetechnik Kainer GmbH Schweidlgasse 32, 1. Stock, Tür 2
1020 Wien",https://www.karriere.at/jobs/6631499
1,SPORTLEADER (M/W/D) - VERKAUFSMITARBEITER*IN bei Decathlon Austria GmbH | karriere.at,"Wir suchen für unsere Filiale Wien Columbus Center (Neueröffnung) SPORTLEADER (M/W/D) - VERKAUFSMITARBEITER*IN TEILZEIT/VOLLZEIT - START: 01.06.2023 ÜBER DECATHLON DECATHLON ist eine französische Sportartikelfirma. Bereits seit 1976 bieten wir Equipment und Bekleidung für über 70 Sportarten unter einem Dach an. Weltweit vertreibt DECATHLON dadurch mehr als 35.000 verschiedene Sportartikel in über 1700 Filialen. Gemeinsam Sport erleben und möglichst vielen Menschen die Freude am Sport ermöglichen Unser Motto ist kein leerer Slogan. Wir verbinden sportliche Leidenschaft mit dem Beruf und teilen diese Begeisterung mit unseren Kollegen und Kunden.BEI DECATHLON  HAST DU...Verantwortung ab dem ersten Tag, zahlreiche Entwicklungsmöglichkeiten in einem internationalen Unternehmen, ein starkes, vielfältiges Team und sportbegeisterte Kolleg*innen und Kund*innen.DU BIST VERANTWORTLICH FÜR:Deine Sportart und die entsprechenden ProdukteDie Zufriedenheit deiner Kund*innen und eine ehrliche und authentische BeratungDas richtige Angebot in deiner Sportart und die  optimale ProduktverfügbarkeitDie Analyse der Kennzahlen und die Entwicklung eigener Vorschläge zur UmsatzsteigerungEine kontinuierliche ProzessoptimierungRegelmäßige KassendiensteDU BRINGST MIT:Begeisterung für deinen SportDu bist serviceorientiert und hast Spaß am Umgang mit Kund*innenDu bist motiviert durch Herausforderungen und TeamarbeitDu bist in hohem Maß eigeninitiativ und verantwortungsbewusstDu bist interessiert am HandelVitalität, Verantwortungsbewusstsein, Hilfsbereitschaft & AuthentizitätDu bist bereit auch Samstags (Super-Wochenendregelung) zu arbeitenUNSER ANGEBOT Das Gehalt: 2000,- brutto pro Monat auf Basis einer Vollzeitbeschäftigung  zzgl. monatlicher Prämie bis zu 15%, sowie zahlreiche Benefits (wie z.B. Mitarbeiterrabatt, Firmenhandy,  Decabreak usw.). Vielfältige Ausbildungs- und EntwicklungsmöglichkeitenINTERESSE? Bewirb dich direkt über unsere Seite www.decathlon-karriere.at dort ist auch eine Videobewerbung möglich. Solltest du noch Fragen haben, wende dich bitte einfach an: karriere@decathlon.at  Decathlon Austria GmbH Andreas Rejak Hans Dujsik-Allee 1-3
2334 Vösendorf",https://www.karriere.at/jobs/6624590
2,DIGITAL MARKETING MANAGER (M/W/D) bei Decathlon Austria GmbH | karriere.at,"VOLLZEIT, START: 02.05.2023 DIGITAL MARKETING MANAGER (M/W/D) KARENZVERTRETUNG ÜBER DECATHLONDECATHLON zählt zu den größten internationalen Sportartikelherstellern und vertreibern weltweit. 1976 in Frankreich gegründet, bieten wir mittlerweile in rund 1.700 Filialen in über 60 Ländern Sportartikel für über 70 verschiedene Sportarten an. Im SCS Park in Wien Vösendorf wurde im August 2018 die erste Österreich-Filiale eröffnet. Mittlerweile gibt es 4 Filialen in Wien, Steiermark und Kärnten, weitere sind in Planung. Gemeinsam Sport erleben und möglichst vielen Menschen die Freude am Sport ermöglichen Unser Motto ist kein leerer Slogan. Wir verbinden sportliche Leidenschaft mit dem Beruf und teilen diese Begeisterung mit unseren Kolleg*innen und Kund*innen.ÜBER DEN JOBDu bist als Teil des österreichischen Marketing-Teams verantwortlich für die direkte und digitale Kommunikation mit unseren Kund*innen, dies umfasst folgende Bereiche:Social Media: Contenterstellung für Facebook & Instagram, Community Management, WerbeanzeigenOnline Werbung: Planung, Durchführung und Evaluierung von digitalen WerbekampagnenCRM: Weiterenwicklung unseres Treueprogramms (Vorteile, Services, Bewerbung, Gewinnspiele)Newsletter: Content Erstellung und VersandPOS Kommunikation: Verlängerung der Customer Journey in unseren FilialenÜBER DICHDu bist ein Teamplayer und zeigst Flexibilität. Du nimmst Herausforderungen an und triffst deine eigenen Entscheidungen. Du ergreifst gerne die Initiative, bist ergebnisorientiert und arbeitest selbstverantwortlich. Du hast eine Ausbildung im Bereich Werbung / Marketing und bereits 2-3 Jahre Berufserfahrung in einer Agentur oder der Marketingabteilung eines Unternehmens gesammelt. Du hast Interesse am Einzelhandel, an neuen Trends, an Werbung und Kommunikation. Du hast starkes Interesse an digitaler Kommunikation und Social Media. Du bist ein Organisationstalent, analysierst und evaluierst deine Ergebnisse und betätigst dich auch gerne kreativ (gutes Textverständnis und Grafik-Kenntnisse von Vorteil). UNSER ANGEBOTDecathlon ist ein wachsendes, weltweit tätiges Unternehmen. Sowohl innerhalb Österreichs als auch international sind Weiterentwicklungen möglich. Darüber hinaus bieten wir vielfältige Ausbildungsmöglichkeiten und einen Mitarbeiterrabatt. Das Büro befindet sich in unserer Filiale im SCS Park, teilweises Home office ist möglich. Der Vertrag ist auf mindestens 1 Jahr befristet.Nach Ablauf der Karenzvertretung für die ausgeschriebene Position finden wir eine gemeinsame Lösung für eine weitere Beschäftigung im Unternehmen.Das Gehalt: Mindestens 2.800,- brutto pro Monat auf Basis einer Vollzeitbeschäftigung (38,5 Std) zzgl. monatlicher Prämie bis zu 15%.INTERESSE?Bewirb dich direkt über unsere Seite www.decathlon-karriere.at. Decathlon Austria GmbH Andreas Rejak
(andreas.rejak@decathlon.at) Hans Dujsik-Allee 1-3
2334 Vösendorf",https://www.karriere.at/jobs/6633455
3,IT-Mitarbeiter*in in Operations (m/w/d) bei Barmherzige Brüder Österreich | karriere.at,"Gutes tun und es gut tun. Der weltweit tätige Orden der Barmherzigen Brüder führt in Österreich rund
30 Einrichtungen im Gesundheits- und Sozialbereich mit über 7.000 Beschäftigten Zur Verstärkung unseres Teams suchen wir ab sofort eine/n IT-Mitarbeiter*in in Operations (m/w/d) VOLLZEIT (100%) Das Krankenhaus der Barmherzigen Brüder Wien ist ein modernes Schwerpunktspital mit 411 Betten und mehr als 1.000 Mitarbeiter*innen. Professionalität und Gastfreundschaft sind für uns zentrale Werte, die wir auch als Medizinisches Lehrkrankenhaus und Pflegewissenschaftliches Ausbildungskrankenhaus vermitteln. IHRE AUFGABEN Betreuung der internen IT-Infrastruktur
	Field-Support und Second-Level Support
	Annahme, Analyse und Behebung von Störungen und Service-Anfragen sowie deren Dokumentation im ITSM-Tool
	Mitarbeit in Projekten IHRE KOMPETENZEN 	Abgeschlossene Informatik-Ausbildung (z.B. Studium, FH, HTL, Fachschule)
	Berufseinsteiger sind willkommen!
	Solide Hard- und Softwarekenntnisse, sehr gute Deutschkenntnisse (Level C1)
	Lernwille, Eigeninitiative und Teamgeist
Professionelles Auftreten und lösungsorientiert Herangehensweise WIR BIETEN Persönliche Einarbeitungsphase Sehr gute Erreichbarkeit Fort- und Weiterbildungen Sehr gutes Arbeitsklima im familiären Umfeld Günstige Wohn- und Parkmöglichkeiten Familienfreundlicher Arbeitgeber Betriebliche Gesundheitsförderung 3-gängiges Mittagsmenü um 2,80 Euro UNSER ANGEBOT Wir bieten Ihnen eine interessante und abwechslungsreiche Tätigkeit mit viel Eigenverantwortung in einem kollegialen und wertschätzenden Team. Für diese Position bieten wir ein Gehalt von EUR 2.572,43 (Vollzeit, brutto, 14x/Jahr). Ihre Berufserfahrung erhöht Ihr Einstiegsgehalt entsprechend. Hier erfahren Sie mehr zu unseren Benefits. WIR FREUEN UNS ÜBER IHRE BEWERBUNG! Wollen Sie Teil unseres Teams werden? Die Bewerbung erfolgt unter folgendem Link: https://bewerbung-wien.barmherzige-brueder.at/Login/1668 Bitte um Beachtung, dass eine Eintragung in das Gesundheitsberuferegister eine Voraussetzung für Ihre Berufsausübung und somit eine
Einstellungsvoraussetzung darstellt. Hier finden Sie unsere Checkliste Immunitätsnachweis BEWERBUNG Online: https://bewerbung-wien.barmherzige-brueder.at/Login/1668 ÜBER UNS: www.bbwien.at
https://www.barmherzige-brueder.at/datenschutz",https://www.karriere.at/jobs/6633452
4,Mitarbeiter*in Buchhaltung bei Ordensklinikum Linz GmbH Barmherzige Schwestern Elisabethinen | karriere.at,"Mitarbeiter*in Buchhaltung, Vollzeit Linz Vollzeit Finanzen, Controlling Unser Auftrag Das Ordensklinikum Linz ist mit seinen spitzenmedizinischen Schwerpunkten eines der führenden Spitäler des Landes. Neben hervorragender medizinischer Kompetenz zeichnet uns ein Umgang miteinander und mit den Patient*innen aus, der von Wertschätzung und Herzlichkeit geprägt ist. Gelebte Gemeinschaft ist uns wichtig. Werden Sie Teil von etwas Größerem. Ihr Aufgabengebiet Kreditorenbuchhaltung Bank, Kassa Fakturierung Mitarbeit bei Monats- und Jahresabschluss Intrastatmeldung Ihre Qualifikation Kaufmännische Ausbildung (zB. Lehre, HAK/HBLW-Matura) Buchhalterprüfung Selbständige und genaue Arbeitsweise Versierter Umgang mit MS Office SAP-Kenntnisse von Vorteil Ihre Vorteile im #teamordensklinikum umfassender Einblick in den Bereich Buchhaltung eine attraktive und herausfordernde Aufgabe in einem zukunftsorientierten Unternehmen Mitglied eines engagierten Teams Patient*innen und Mitarbeiter*innen haben einen hohen Stellenwert Für diese Stelle bieten wir ein Jahresbruttogehalt von mindestens € 34.759,20 auf Vollzeitbasis abhängig von Ihrer beruflichen Qualifikation und Erfahrung, Zulagen lt. Kollektivvertrag. Die Anstellung erfolgt ab sofort am Standort der Elisabethinen. Ihre Kontaktmöglichkeiten Wenn wir Ihr Interesse geweckt haben, bewerben Sie sich bitte direkt über unser Karriereportal, z.Hd. Fr. Sabine Humpl, BA.",https://www.karriere.at/jobs/6633449
5,Senior Projektleiter (m/w/d) bei Adhara GmbH | karriere.at,"Senior Projektleiter (m/w/d) Anlagenbau, Chemie-KV, Bestes Klima Job-ID.: 429-KA | Bezirk Vöcklabruck | Vollzeit Unser Kunde ist eines der weltweit führenden Unternehmen im Bereich der Spezialchemie. Seit vielen Jahren steht die Nachhaltigkeit im Mittelpunkt des Wirkens. Durch die erzeugten Produkte werden weltweit signifikant weniger Treibhausemissionen verursacht. Gute Einarbeitung, modernstes Equipment und individuelle Entwicklungsmöglichkeiten sind Säulen des Erfolges. Man ist überregional bekannt für Familienfreundlichkeit, sehr gutes Betriebsklima und beste Entlohnung ohne Pauschalen. Für eine Produktionserweiterung werden motivierte Teamplayer gesucht. Wir vermitteln Erfolge. Nachhaltig. Wir glauben an sie: eine positive Zukunft. Seien Sie Teil davon – in Unternehmen mit Vorreiterrolle in Sachen Nachhaltigkeit und Ressourcenschonung. www.adhara.eu Jetzt online bewerben Ihre Aufgaben: Sie agieren in einem gut aufgestellten Team und berichten an die technische Leitung. Konkret sind Sie verantwortlich für die anlagentechnische Weiterentwicklung von bestehenden und neuen Produktionsanlagen. Das beginnt beim Basic Engineering bis zum Detail Engineering. Sie überarbeiten und entwickeln hierzu Fließschemen und leiten daraus die erforderlichen Maßnahmen und Bestellungen ab. Bei Montagen fungieren Sie als Projektverantwortliche*r hinsichtlich Kosten, Termine und fachlicher Ausführung. Bei der Inbetriebnahme sind Sie der/die Hauptansprechpartner*in neben weiteren Fachabteilungen wie Verfahrenstechnik, Software- und Prozessentwicklung. Ihr Profil: Wir wenden uns für diese interessante Position an Kandidat*innen mit einer fundierten höheren technischen Ausbildung (Studium Verfahrenstechnik/Chemie oder adäquate Disziplinen). Mehrjährige Berufserfahrung in einem ähnlichen Umfeld setzen wir dabei voraus. Profundes Knowhow in der verfahrenstechnischen Anlagenplanung wie Auslegung und Spezifikation von Maschinen und Apparaten, Rohrleitungen und entsprechende Kenntnisse der EDV-Anwendungen (MS-Office, Verständnis im Bereich der CAD-Planung) runden Ihr Profil ab. Das erwartet Sie: Sie arbeiten gemeinsam mit einem Team an spannenden und herausfordernden Themen in einem hochmodernen, innovativen und kreativen Umfeld. Eine intensive Einarbeitung ""on the job"" mit kompetenten Kolleginnen und Kollegen garantiert einen schnellen Einstieg. Eine leistungsgerechte Bezahlung, die Förderung Ihrer persönlichen Entwicklung sowie der fachlichen Qualifizierung sind selbstverständlich. Es wird Ihnen ein Bruttojahresgehalt ab ca. EUR 70.000,- (15 Gehälter, zzgl. Bonus, keine Pauschalen) in einem Gleitzeitmodell geboten. Nutzen Sie diese einmalige Chance in einer neu geschaffenen Stelle und senden uns Ihre Bewerbung, unter Angabe der Job-ID (429-KA) an karriere@adhara.eu zu. Selbstverständlich behandeln wir Ihre Bewerbung streng vertraulich Ihr Kontakt: Hr. Helmut Pürstinger	0676/9132154 Adhara GmbH | Aussichtsweg 4 | 4861 Schörfling am Attersee, AUSTRIA",https://www.karriere.at/jobs/6633446
6,TechnikerIn (m/w/d) im Bereich der HKLS-Planung bei Gebäudetechnik Kainer GmbH | karriere.at,"TechnikerIn (m/w/d) im Bereich der HKLS-Planung Wir sind ein etabliertes, wachsendes Unternehmen im Bereich der Gebäudetechnik und begleiten Bauprojekte von der Planung haustechnischer Anlagen (Vorplanung, Ausschreibung, Projektplanung) bis hin zur Fachbauaufsicht inkl. Endabnahme. Zur Stärkung unseres Teams am Unternehmensstandort in Rattersdorf suchen wir ab sofort Unterstützung in der Projektabwicklung im Ausmaß einer Vollzeitbeschäftigung von 40 Stunden/Woche.Was sind Ihre zukünftigen Aufgaben:Technische Ausarbeitung von gebäudetechnischen AnlagenTechnische Unterstützung der ProjektleiterErstellung von Plänen unter Verwendung von CAD-SoftwareErstellung von Ausschreibungsunterlagen inkl. KostenbewertungenMitwirken bei der FachbauaufsichtDiese Aufgaben erfordern Fähigkeiten auf unterschiedlichen Ebenen:Abgeschlossene technische Ausbildung wie HTL Gebäudetechnik und Energieplanung, FH Gebäudetechnik, FH Energie- und Umweltmanagement oder einschlägige BerufsausbildungTechnisches Vorwissen bzw. Berufserfahrung im Bereich der Energie- oder Gebäudetechnik von VorteilRäumliches VorstellungsvermögenKommunikationsstärke und organisatorische FähigkeitenEigenverantwortliche und sorgfältige ArbeitsweiseCAD-Grundkenntnisse (bevorzugt PlanCal)Was sind unsere Werte / Was können wir Ihnen bieten:In einem modernen Büro bieten wir Ihnen ein soziales Arbeitsumfeld, das auf flexiblen Arbeitszeiten sowie einem wertschätzenden, respektvollen und vertrauensvollen Umgang miteinander basiert. Eine Mischung aus Eigenverantwortung und Zusammenarbeit zeichnet unser gutes Arbeitsklima aus. In Ihrer zukünftigen Funktion sind Sie Teil eines dynamischen Teams, das namhafte und innovative Projekte abwickelt. Es erwartet Sie ein im Kollektivvertrag für Information und Consulting geregeltes Gehalt (ab  Brutto 2.176,18 ) mit der Bereitschaft zur Überzahlung sowie Aufstiegschancen zum Projektleiter je nach Qualifikation und positionsrelevanter Berufserfahrung.Wir freuen uns auf Ihr Bewerbungsschreiben inkl. Lebenslauf, welches Sie bitte per E-Mail an office@tbkainer.at adressieren. Gebäudetechnik Kainer GmbH Bahnhofstraße 41
7443 Rattersdorf",https://www.karriere.at/jobs/6633443
7,Mitarbeiter für den Vertrieb Innendienst (m/w/d) bei Neuhauser Verkehrstechnik GmbH & Co KG | karriere.at,"Wir Neuhauser Verkehrstechnik sind als Lieferant für Verkehrstechnik-Produkte in Österreich nicht wegzudenken. Für unsere Branche sind wir mit 35 Jahren noch ein junges, aber definitiv sehr gut etabliertes Unternehmen. Von unserem Standort in Pucking (Linz-Land / OÖ Zentralraum) aus beliefern wir vor allem Kunden in Österreich im öffentlichen Sektor (Bund, Land/Straßenmeistereien, Gemeinden) sowie Firmen- und Privatkunden. Mit rund 80 Mitarbeitern bieten wir ein sicheres Unternehmensumfeld und sind stolz auf unser hervorragendes Betriebsklima. Mitarbeiter für den Vertrieb Innendienst (m/w/d) ab sofort Ihre Aufgaben:Ansprechpartner (in) für Kunden in allen BelangenKalkulation von kundenspezischen ProduktenAngebotserstellung, -nachverfolgung / Bestellannahme / technische AuftragsbearbeitungDatenverwaltung (Kunden/Lieferanten)Unterstützung der Projektabteilung / TeambezogenAllgemeine SekretariatsaufgabenIhr Profil:Abgeschlossene kaufmännische Ausbildung oder gute Erfahrung in diesem BereichPraxis sowie Erfahrung im Verkauf Innendienst - Baunebengewerbe von Vorteilsehr gutes technisches Verständnishohes Maß an Verlässlichkeit, Engagement und Einsatzbereitschaftselbstständige, kompetente ArbeitsweiseFührerschein BWir bieten:Einen spannenden Vollzeit-Arbeitsplatz in einem dynamischen KMU, facettenreiche Herausforderungen sowie persönliche und fachliche Entwicklungsmöglichkeiten in einem kollegialen Arbeitsumfeld. Je nach beruflicher Erfahrung und Qualifikation erhalten Sie ein angemessenes Bruttogehalt ab EUR 2.000,-.Beginn jederzeit möglich.Kontakt:Wir freuen uns auf Ihre aussagekräftigen und vollständigen Bewerbungsunterlagen, vorrangig per E-Mail.Selbstverständlich behandeln wir Ihre Bewerbung vertraulich. Neuhauser Verkehrtechnik GmbH & Co KG GF Ing. Dietmar Radler Untere Landstraße 40
4055 Pucking
job@neuhauser-vt.com",https://www.karriere.at/jobs/6633440
8,Diplomierte Gesundheits- und Krankenpflegeperson für die onkologische Bettenstation bei Barmherzige Brüder Österreich | karriere.at,"Gutes tun und es gut tun. Der weltweit tätige Orden der Barmherzigen Brüder führt in Österreich rund 30 Einrichtungen im Gesundheits- und Sozialbereich mit über 7.000 Beschäftigten. Für unser Krankenhaus in Salzburg suchen wir zur Verstärkung unseres Teams ab sofort eine Diplomierte Gesundheits- und Krankenpflegeperson für die onkologische Bettenstation Voll-/Teilzeit Das im Zentrum der Stadt Salzburg gelegene Ordensspital der Barmherzigen Brüder ist ein Akutkrankenhaus mit allgemein öffentlichem Versorgungsauftrag und verfügt über 233 Betten. Die etwa 500 Mitarbeitenden sind in den Abteilungen Innere Medizin, Allgemeinchirurgie, Radiologie und Nuklearmedizin, Plastische, Rekonstruktive und Ästhetische Chirurgie, Gynäkologie, Anästhesie und Intensivmedizin sowie im Fachschwerpunkt Urologie tätig und bemühen sich um höchstmögliche Qualität in der medizinischen und pflegerischen Versorgung der Bevölkerung. Dieses Bemühen ist gepaart mit ethischer und religiöser Verantwortung. Ihre Aufgaben Als DGKP übernehmen Sie Aufgaben entsprechend den berufsrechtlichen Rahmenbedingungen des GuKG. Sie arbeiten gemeinschaftlich in einem multiprofessionellen engagierten Team, das 365 Tage im Jahr um eine bestmögliche patientenorientierte Versorgung bemüht ist. Ihre Kompetenzen Abgeschlossene Ausbildung als diplomierte Gesundheits- und Krankenpflegeperson
Berufserfahrung als Diplomierte Gesundheits- und Krankenpflegeperson von Vorteil
Eintragung in das Gesundheitsberuferegister
Hohes Engagement und Eigenverantwortung sowie Empathie
Sie bringen Interesse für unser modernes, computergestütztes Dokumentationssystem mit und können sich in prozessorientierte Abläufe gut einarbeiten
Identifizierung mit der Wertehaltung der Barmherzigen Brüder und deren Ethik, wie sie sich im Ethik-Codex ausdrückt (siehe https://barmherzige-brueder.at/ethik/codex) Wir bieten Interessante und abwechslungsreiche Tätigkeit in einem multiprofessionellen Arbeitsumfeld persönliche und strukturierte Einarbeitungsphase familiäres Arbeitsklima mit flachen Hierachien und kurzen Wegen individuelle Fort- und Weiterbildungsangebote (inkl. Zugang zum Online-Fortbildungsprogramm CNE) sechs Urlaubswochen ab dem 43. Lebensjahr (unabhängig von der Dauer der Betriebszugehörigkeit) vergünstigte Wohn- und Parkmöglichkeiten in unmittelbarer Umgebung des Krankenhauses (bei Verfügbarkeit) kostengünstige Betriebskantine in Buffetform positives und wertschätzendes Arbeitsklima inkl. div. Maßnahmen, die das Wohlbefinden und die Zufriedenheit der Mitarbeiter zum Ziel haben (z.B.: Angebote im Rahmen der betrieblichen Gesundheitsförderung, Supervision, Mitarbeiterbefragungen, regelm. Mitarbeitergespräche, ...) Monatliches Mindestbruttogehalt inkl. fixer Zulagen € 3.121,81 bei Vollzeitbeschäftigung (14x/Jahr) – ohne Entgelt für Dienste wie z.B. Nachtdienste-, Sonn- und Feiertagszulagen Wir freuen uns über Ihre Bewerbung Jetzt online bewerben BEWERBUNG:
Online: https://bewerbung-salzburg.barmherzige-brueder.at/Job/1413
Kontakt: Fr. Dr. Margareta Bruckner, MBA MSc, Pflegedirektorin, Kajetanerplatz 1, 5010 Salzburg, +43(0)662/8088-58492 (Sekretariat) ÜBER UNS: www.bbsalz.at www.barmherzige-brueder.at/datenschutz",https://www.karriere.at/jobs/6633437
9,Ausbilder/in für Uhrmacher/innen und Zeitmesstechnik bei Jugend am Werk | karriere.at,"Die Jugend am Werk Bildungs:Raum GmbH bietet an diversen Standorten in Wien Berufsorientierung, Qualifizierungen und Berufsausbildungen an. Für unseren Standort im 20. Bezirk suchen wir ab sofort eine/einen Ausbilder/in für Uhrmacher/innen und Zeitmesstechnik Vollzeit 37h/Woche Ihre AufgabenAusbildung und Förderung von Jugendlichen bzw. jungen Erwachsenen sowie eine wertschätzende Begleitung zur SelbständigkeitVermittlung von theoretischen Fachkenntnissen in den Schulungsräumen und fachpraktischen Fertigkeiten in der Werkstätte sowie sozialer KompetenzEnge Zusammenarbeit und laufende Abstimmung mit unserem AusbildungsteamBegleitung, Kontrolle und Evaluierung des Lernfortschritts unserer TeilnehmendenKontakt zu den BerufsschulenSie sind mindestens 25 Jahre und verfügen übereine abgeschlossene Ausbildung in den oben genannten bzw. in verwandten Lehrberufeneinschlägige Berufserfahrung sowie Erfahrung in der Ausbildung von LehrlingenWerkmeister/innenprüfung oder Ausbilder/innenprüfung (von Vorteil)Teamfähigkeit sowie die Begeisterung, Fachwissen an die Auszubildenden weiterzugebenHohe Sozialkompetenz, Empathie und InnovationsstärkeUnser AngebotMitarbeit in einem innovationsfreudigen UnternehmenKollegiales Umfeld, angenehmes ArbeitsklimaPersönliche und berufliche WeiterbildungsangeboteZusätzliche dienstfreie Tage und weitere SozialleistungenCoaching- und SupervisionsmöglichkeitEntgelt nach SWÖ KV (Verwendungsgruppe 7) je nach Vordienstzeiten, bei Anrechnung von z.B. vier Berufsjahren 38.800,- pro Jahr, Überzahlung möglich.Sie haben den Wunsch, Mitglied unseres Teams zu werden? Dann freuen wir uns auf Ihre aussagekräftige Bewerbung inklusive Motivationsschreiben und Zeugnisse an Milan Barac, milan.barac@jaw.at Jugend am Werk Bildungs:Raum GmbH Milan Barac
Lorenz-Müller-Gasse 3
1200 Wien
milan.barac@jaw.at",https://www.karriere.at/jobs/6632774
