title,description,cleaned_text
Teamassistent*in - Bank, Die renommierte Bank mit zentral gelegenem und sehr gut erreichbarem Standort im Vorarlberger Unterland verstärkt ihr Team in der Firmenkundenberatung. Sie unterstützen die Firmenkundenberater*innen bei der Servicierung des bestehenden Kundenstamms und agieren als Schnittstelle zu den Fachabteilungen,die renommierte bank mit zentral gelegenem und sehr gut erreichbarem standort im vorarlberger unterland verst rkt ihr team der firmenkundenberatung sie unterst tzen die firmenkundenberater innen bei der servicierung de bestehenden kundenstamms und agieren al schnittstelle zu den fachabteilungen
Financial Reporting - Back Office Mitarbeiter*in Bank,Maturant*innen und Jungakademiker*innen wird am Hauptsitz im Vorarlberger Unterland bzw. in der Zweigstelle in Wien diese Karrierechance geboten … Auswertungen und Berichte an Behörden und Ämter wie die österreichische Nationalbank oder die Finanzmarktaufsicht erstellen,maturant innen und jungakademiker innen wird hauptsitz im vorarlberger unterland bzw der zweigstelle wien diese karrierechance geboten auswertungen und berichte beh rden und mter wie die sterreichische nationalbank oder die finanzmarktaufsicht erstellen
Private Banker:in (m/w/d),Umfassende Betreuung bestehender Kund:innen im Top-Segment - Akquisition neuer Kundschaft mit dem Ziel nachhaltig erfolgreicher Zusammenarbeit - Maßgeschneiderte Beratung in allen Fragen komplexer Vermögensveranlagung - Berücksichtigung von Anforderungen bzw. Wünschen Ihrer Kund:innen,umfassende betreuung bestehender kund innen im top segment akquisition neuer kundschaft mit dem ziel nachhaltig erfolgreicher zusammenarbeit geschneiderte beratung allen fragen komplexer verm gensveranlagung ber cksichtigung von anforderungen bzw w nschen ihrer kund innen
Geschäftsleitung / Raiffeisenbank Aist (m/w/d),"Ergebnisorientierte Steuerung der Bank mit Bedacht auf die Einhaltung aufsichtsrechtlicher Vorgaben sowie Raiffeisen-Werten, strategische und operative Führung … Führung, Coaching und Personalentwicklung der MitarbeiterInnen",ergebnisorientierte steuerung der bank mit bedacht auf die einhaltung aufsichtsrechtlicher vorgaben sowie raiffeisen werten strategische und operative f hrung f hrung coaching und personalentwicklung der mitarbeiterinnen
Bankstellenleiter:in (w/m/d),"Bankstelle Himberg, Anstellungsart: Vollzeit - IHRE AUFGABEN: MEHR BEWEGEN - Wie Ihr Arbeitsalltag aussieht? Abwechslung statt Einheitsbrei. * Ganzheitliche Betreuung und professionelle Beratung unserer Kunden * Akquisition von Neukunden und Aufbau neuer langfristiger Kundenbeziehungen",bankstelle himberg anstellungsart vollzeit ihre aufgaben mehr bewegen wie ihr arbeitsalltag aussieht abwechslung statt einheitsbrei ganzheitliche betreuung und professionelle beratung unserer kunden akquisition von neukunden und aufbau neuer langfristiger kundenbeziehungen
Traineeprogramm in der Bank (m/w/d),"Klagenfurt, Feldkirchen, Völkermarkt, Wolfsberg - Gestalte deine Zukunft - mit deinen Kompetenzen - Du lernst das Firmenkundengeschäft von Grund auf kennen … Du lernst durch „Training on the job“ und das umfangreiche Seminarangebot der Volksbank Akademie",klagenfurt feldkirchen v lkermarkt wolfsberg gestalte deine zukunft mit deinen kompetenzen du lernst da firmenkundengesch ft von grund auf kennen du lernst durch training job und da umfangreiche seminarangebot der volksbank akademie
Junior Kreditsachbearbeiter:in Bank,"In dieser Position erstellen Sie individuelle, auf die Kundenerfordernisse abgestimmte Kreditvorlagen und in weiterer Folge die gesamten Kreditvertragsunterlagen (u.a. Kredit- und Sicherheitenverträge). Des Weiteren unterstützen Sie die Kundenberater bei der Betreuung der Kunden",dieser position erstellen sie individuelle auf die kundenerfordernisse abgestimmte kreditvorlagen und weiterer folge die gesamten kreditvertragsunterlagen u kredit und sicherheitenvertr ge de weiteren unterst tzen sie die kundenberater bei der betreuung der kunden
Assistenz Private Banking (m/w/d),Unterstützung der Kundenbetreuerinnen und Kundenbetreuer hinsichtlich der umfassenden Betreuung und Beratung vermögender Privatkundinnen und Privatkunden in allen finanziellen Angelegenheiten - Vor - und Nachbereitung von Kundenterminen,unterst tzung der kundenbetreuerinnen und kundenbetreuer hinsichtlich der umfassenden betreuung und beratung verm gender privatkundinnen und privatkunden allen finanziellen angelegenheiten vor und nachbereitung von kundenterminen
Associate / Senior Associate (all genders) im Bereich Bankenprüfung mit Fokus Bankenaufsichtsrecht / Regulatory,Bearbeitung bankaufsichtlicher Prüffelder im Rahmen von Jahresabschluss- oder Sonderprüfungen - Aktive Unterstützung der Bankprüfungsteams bei der Beantwortung bankaufsichtlicher Fragen - Vorbereitung von Stellungnahmen und Durchführung von Beratungsprojekten,bearbeitung bankaufsichtlicher pr ffelder im rahmen von jahresabschluss oder sonderpr fungen aktive unterst tzung der bankpr fungsteams bei der beantwortung bankaufsichtlicher fragen vorbereitung von stellungnahmen und durchf hrung von beratungsprojekten
Fachexpert:in Controlling / Gesamtbanksteuerung und Reporting (m/w/d),Sie betreuen die Raiffeisenbanken zur Produkt-/Kundenkalkulation (Management-Erfolgsrechnung) und zum Thema risikoadjustiertes Pricing (Vorkalkulation) - Sie warten die stufenweisen Deckungsbeitragsrechnung und entwickeln sie weiter,sie betreuen die raiffeisenbanken zur produkt kundenkalkulation management erfolgsrechnung und zum thema risikoadjustiertes pricing vorkalkulation sie warten die stufenweisen deckungsbeitragsrechnung und entwickeln sie weiter
Expert:in Treasury Bank,Nach einer – ihren Vorkenntnissen angepassten - Einarbeitungsphase übernehmen Sie eigenverantwortlich Aufgaben im Treasury … Dabei stehen Sie in direkter Geschäftsbeziehung mit Interbankpartnern und den Salzburger Raiffeisenbanken,nach einer ihren vorkenntnissen angepassten einarbeitungsphase bernehmen sie eigenverantwortlich aufgaben im treasury dabei stehen sie direkter gesch ftsbeziehung mit interbankpartnern und den salzburger raiffeisenbanken
Business Intelligence Developer:in Bank,Unser Kunde ist eine im Zentrum von Salzburg ansässige Privatbank mit mehreren Niederlassungen in Österreich … Aktive Mitarbeit bei der kontinuierlichen Weiterentwicklung und Optimierung des Datawarehouse - Mitwirkung bei der Automatisierung von IT-Prozessen,unser kunde ist eine im zentrum von salzburg an ssige privatbank mit mehreren niederlassungen sterreich aktive mitarbeit bei der kontinuierlichen weiterentwicklung und optimierung de datawarehouse mitwirkung bei der automatisierung von prozessen
Privatkundenbetreuer*in im gehobenen Kundensegment, … zeitgemäßer Produkt- und Dienstleistungsqualität hat sich unser Auftraggeber zu einem der größten und bekanntesten Akteure im heimischen Banksektor etabliert. Am Standort im Oberland / Großraum Bludenz gelangt diese chancenreiche Position zur Besetzung,zeitgem er produkt und dienstleistungsqualit hat sich unser auftraggeber zu einem der gr ten und bekanntesten akteure im heimischen banksektor etabliert standort im oberland gro raum bludenz gelangt diese chancenreiche position zur besetzung
General Banker (m/w/d),Laufende Beratung und Betreuung unserer KundInnen zu Finanzthemen machen Sie zum/-r künftigen SpezialistIn in der Finanzbranche … über eine abgeschlossene kaufmännische Ausbildung und haben mehrjährige Berufserfahrung in der Bank- oder Versicherungsbranche mit aktiven Kundenkontakt,laufende beratung und betreuung unserer kundinnen zu finanzthemen machen sie zum r k nftigen spezialistin der finanzbranche ber eine abgeschlossene kaufm nnische ausbildung und haben mehrj hrige berufserfahrung der bank oder versicherungsbranche mit aktiven kundenkontakt
Kreditsachbearbeiter/in für die Raiffeisenbank Schallmoos,In dieser Position erstellen und kontrollieren Sie verschiedene Kreditanträge und –verträge. Sie übernehmen die allgemeine Korrespondenz mit unseren Kunden und koordinieren Termine. Darüber hinaus sind Sie für die Verwaltung der Kundenakten zuständig und übernehmen administrative Aufgaben im Back Office,dieser position erstellen und kontrollieren sie verschiedene kreditantr ge und vertr ge sie bernehmen die allgemeine korrespondenz mit unseren kunden und koordinieren termine dar ber hinaus sind sie f r die verwaltung der kundenakten zust ndig und bernehmen administrative aufgaben im back office
Revisor für die Bankenprüfung (m/w/d), … die Verantwortung für die Prüfung von Jahres- und Konzernabschlüssen nach lokalen (UGB) und internationalen Rechnungslegungsgrundsätzen (IFRS) im Bankenbereich - Je nach Vorerfahrung übernehmen Sie entweder von Beginn an oder sukzessiv die Rolle des Prüfungsleiters und Teamleaders,die verantwortung f r die pr fung von jahres und konzernabschl ssen nach lokalen ugb und internationalen rechnungslegungsgrunds tzen ifrs im bankenbereich je nach vorerfahrung bernehmen sie entweder von beginn oder sukzessiv die rolle de pr fungsleiters und teamleaders
Bankstellenleitung (m/w/d),Als Bankstellenleiter:in sind Sie für die operative Führung und Steuerung der Bankstelle verantwortlich. Ihr gesellschaftliches Engagement in der Region stärkt das Vertrauen der Kund:innen. Gemeinsam mit einem engagierten Team bilden Sie die Grundlage für den nachhaltigen Erfolg der Bank,al bankstellenleiter sind sie f r die operative f hrung und steuerung der bankstelle verantwortlich ihr gesellschaftliches engagement der region st rkt da vertrauen der kund innen gemeinsam mit einem engagierten team bilden sie die grundlage f r den nachhaltigen erfolg der bank
Kreditsachbearbeiter/in für die Raiffeisenbank Schallmoos,In dieser Position erstellen und kontrollieren Sie verschiedene Kreditanträge und –verträge. Sie übernehmen die allgemeine Korrespondenz mit unseren Kunden und koordinieren Termine. Darüber hinaus sind Sie für die Verwaltung der Kundenakten zuständig und übernehmen administrative Aufgaben im Back Office,dieser position erstellen und kontrollieren sie verschiedene kreditantr ge und vertr ge sie bernehmen die allgemeine korrespondenz mit unseren kunden und koordinieren termine dar ber hinaus sind sie f r die verwaltung der kundenakten zust ndig und bernehmen administrative aufgaben im back office
