title,description,cleaned_text
Java Software Developer (m/w/d),Fundierte Kenntnisse in der objektorientierten Programmierung (bevorzugt JAVA) - Idealerweise Kenntnisse in Oracle und/oder MS-SQL - Gute Deutsch- und Englischkenntnisse in Wort- und Schrift - Motivation und Leidenschaft um neueste Technologietrends zu lernen und sich ständig weiterzuentwickeln,fundierte kenntnisse der objektorientierten programmierung bevorzugt java idealerweise kenntnisse oracle und oder m sql gute deutsch und englischkenntnisse wort und schrift motivation und leidenschaft um neueste technologietrends zu lernen und sich st ndig weiterzuentwickeln
Senior Software Developer (m/w/d),"Eine erfolgreich abgeschlossene höhere IT-Ausbildung (HTL, FH, Universität) … Praktische Erfahrung im Build- und Delivery Prozess - Idealerweise Erfahrung in der Android-Programmierung - Hohe Lösungsorientierung, Problemlösungskompetenz, sehr gute Kommunikationsfähigkeit, proaktive Arbeitsweise, Belastbarkeit, Flexibilität … ",eine erfolgreich abgeschlossene h ausbildung htl fh universit praktische erfahrung im build und delivery prozess idealerweise erfahrung der android programmierung hohe l sungsorientierung probleml sungskompetenz sehr gute kommunikationsf higkeit proaktive arbeitsweise belastbarkeit flexibilit
Softwareentwickler*innen C# und Angular - 80% - 100%,"Was erwartet dich … Du arbeitest in einem agilen Team nach der SCRUM Methode und deine Kerntätigkeiten sind technische Analyse und Entwurf, Entwicklung von Apps (C#, Angular) sowie Systemtests und Systemeinführung beim Kunden. ",erwartet dich du arbeitest einem agilen team nach der scrum methode und deine kernt tigkeiten sind technische analyse und entwurf entwicklung von apps c angular sowie systemtests und systemeinf hrung beim kunden
IT-Mitarbeiter (m/w/d),"Eine erfolgreich abgeschlossene IT-Ausbildung - Abgeschlossener Präsenz- oder Zivildienst … Gute Kenntnisse rund um Windows Clients (von Vorteil) - Strukturierte und proaktive Arbeitsweise, hohe Serviceorientierung, gute Kommunikationsfähigkeit, Freude am Kundenkontakt, Verantwortungsbewusstsein, Eigeninitiative … ",eine erfolgreich abgeschlossene ausbildung abgeschlossener pr senz oder zivildienst gute kenntnisse rund um window client von vorteil strukturierte und proaktive arbeitsweise hohe serviceorientierung gute kommunikationsf higkeit freude kundenkontakt verantwortungsbewusstsein eigeninitiative
Full-Stack Software Developer - C# .NET,"Beste Qualität sowie eine hohe Kundenorientierung ist unserem Auftraggeber ein besonderes Anliegen. Am Standort im Großraum Bregenz wir das Team verstärkt … Kooperation mit Frontend-Entwicklung, Produktmanagement und DevOps-Team ",beste qualit sowie eine hohe kundenorientierung ist unserem auftraggeber ein besonderes anliegen standort im gro raum bregenz wir da team verst rkt kooperation mit frontend entwicklung produktmanagement und devops team
Software-Entwickler (m/w/d) für österreichweite Competencecenter - Fachbereich IT Management und IT Organisation,"Betreuung, Optimierung und Weiterentwicklung von individuellen JEE-Applikationen in der Sozialversicherung - Umsetzung von in UseCase-Form beschriebenen Vorgaben - Reviews von Design und Code durchführen - Durchführung von Modultests",betreuung optimierung und weiterentwicklung von individuellen jee applikationen der sozialversicherung umsetzung von usecase form beschriebenen vorgaben review von design und code durchf hren durchf hrung von modultests
IT-Systembetreuer,Unterstützung und Betreuung von IT-Applikationen und Softwareprogrammen - Selbstständige Betreuung von IT-Projekten … Abgeschlossene technische Ausbildung … Kenntnisse in Microsoft Navision erwünscht - Kenntnisse für die Anbindung von Maschinen,unterst tzung und betreuung von applikationen und softwareprogrammen selbstst ndige betreuung von projekten abgeschlossene technische ausbildung kenntnisse microsoft navision erw nscht kenntnisse f r die anbindung von maschinen
SOC Security Analyst:in / Spezialist:in,Berufserfahrung in vergleichbarer Position - Gute Kenntnisse im Bereich IT/OT-Infrastruktur/Netzwerk - Eignung und Bereitschaft zur Ausübung eines Bereitschaftsdienstes … Ausgeprägte methodische Kenntnisse im Rahmen der IT/OT-Sicherheit,berufserfahrung vergleichbarer position gute kenntnisse im bereich ot infrastruktur netzwerk eignung und bereitschaft zur au bung eines bereitschaftsdienstes ausgepr gte methodische kenntnisse im rahmen der ot sicherheit
Java Fullstack Developer (m/w/d) - Softwareentwickler Java,"Mitarbeit am Gesamten Java Entwicklungszyklus von der Anforderungsanalyse über die Architekturkonzeption bis zur Umsetzung * Analyse neuer Technologien, Bewertung entsprechender Einsatzbarkeit und Umsetzung technischer Neuerungen",mitarbeit gesamten java entwicklungszyklus von der anforderungsanalyse ber die architekturkonzeption bi zur umsetzung analyse neuer technologien bewertung entsprechender einsatzbarkeit und umsetzung technischer neuerungen
Sparringpartner IT- und Cyber Security Management,"Unterstützung bei Informationssicherheitsprojekten unserer Kunden (technische Aspekte) - Durchführung von IT-Schwachstellenanalysen … Unterstützen bei Informationssicherheitsvorfällen … Reisetätigkeit ca. 20 % jährlich (max. 1-tägig, hauptsächlich Oberösterreich)",unterst tzung bei informationssicherheitsprojekten unserer kunden technische aspekte durchf hrung von schwachstellenanalysen unterst tzen bei informationssicherheitsvorf llen reiset tigkeit ca j hrlich max gig haupts chlich ober sterreich
