title,description,cleaned_text
Python und C++ Entwickler (m/w/x),"Entwicklung, Implementierung und Testung von Produkten und Lösungen - Schreiben von sauberen und wiederverwendbaren Code, der einfach zu pflegen und zu erweitern ist - Agile Arbeitsweise mit gängigen Tools (Jira, Confluence, Azure Cloud)",entwicklung implementierung und testung von produkten und l sungen schreiben von sauberen und wiederverwendbaren code der einfach zu pflegen und zu erweitern ist agile arbeitsweise mit g ngigen tool jira confluence azure cloud
Python and C++ Developer (m/w/x),"Developing, implementing, testing products and solutions - Writing clean and reusable code that is easy to maintain and extend - Agile way of working with common tools (Jira, Confluence, Azure Cloud). Translating customer experiences and product features into functionality on the platforms",developing implementing testing product solution writing clean reusable code easy maintain extend agile way working common tool jira confluence azure cloud translating customer experience product feature functionality platform
"Software Developer Python (m, w, x)","Ihre Aufgaben und Voraussetzungen: Solide Kenntnisse in der Softwareentwicklung, erworben durch: - Hochschulabschluss in Informatik, Ingenieurwesen oder einem verwandten Fach oder- Bootcamp für Softwareentwicklung oder - Autodidaktisch - Arbeitskenntnisse in: Python, TypeScript, Docker (bevorzugt) oder Git",ihre aufgaben und voraussetzungen solide kenntnisse der softwareentwicklung erworben durch hochschulabschluss informatik ingenieurwesen oder einem verwandten fach oder bootcamp f r softwareentwicklung oder autodidaktisch arbeitskenntnisse python typescript docker bevorzugt oder git
Python Developer mit Schwerpunkt Machine Learning (w/m/x),Blicke in die Zukunft des Machine Learnings ? Südliches Graz oder Klagenfurt - Vollzeit € 3.000 - € 5.500 - 30 - 40% Homeoffice … bist du für die Systemarchitektur der Machine Learning Plattform und die Python Anwendungen verantwortlich,blicke die zukunft de machine learning dliches graz oder klagenfurt vollzeit homeoffice bist du f r die systemarchitektur der machine learning plattform und die python anwendungen verantwortlich
Senior Python Engineer (m/w/d),"Entwicklung sowie fortlaufende Betreuung und Erweiterung von komplexen, anspruchsvollen und qualitativen Softwaresystemen im automotive Umfeld * Aufbau der internen Datenstruktur und Architektur im Techstack: Python, Azure, Docker und Github",entwicklung sowie fortlaufende betreuung und erweiterung von komplexen anspruchsvollen und qualitativen softwaresystemen im automotive umfeld aufbau der internen datenstruktur und architektur im techstack python azure docker und github
Python Django Developer,Develop a highly scalable system - Provide technical support to our customers - Communicate requirements and dependencies of the component within the system with other team members and sales team - Optionally: Frontend development with Vue.js … Python,develop highly scalable system provide technical support customer communicate requirement dependency component within system team member sale team optionally frontend development vue j python
Python Developer,Du hast die Möglichkeit on the job in viele verschiedene Themen einzutauchen und durch deine hohe Lernbereitschaft und deine proaktive Arbeitsweise dein Spezialgebiet zu finden. Technologien und Skills - Django … Qualifikationen,du hast die glichkeit job viele verschiedene themen einzutauchen und durch deine hohe lernbereitschaft und deine proaktive arbeitsweise dein spezialgebiet zu finden technologien und skill django qualifikationen
Data Engineer – Python and SQL Specialist (m/f/d),"This includes owning the ingestion, transforming it into actionable insights, storing it, and designing their interfaces. Your Job Description - Design and implement scalable ETL solutions … General strong programming background with experience in Python and SQL",includes owning ingestion transforming actionable insight storing designing interface job description design implement scalable etl solution general strong programming background experience python sql
Python Developer,Du arbeitest mit deinen Teamkolleg*innen gemeinsam an modernen und spannenden Digitalprojekten für unsere Kund*innen. Schnittstellenentwicklung und Anbindungen an die bestehenden Systeme unserer Kund*innen. Code-Reviews werden im Team über Pull Requests gemacht und erfordern auch deinen Einsatz,du arbeitest mit deinen teamkolleg innen gemeinsam modernen und spannenden digitalprojekten f r unsere kund innen schnittstellenentwicklung und anbindungen die bestehenden systeme unserer kund innen code review werden im team ber pull request gemacht und erfordern auch deinen einsatz
Python Developer,Weiterentwicklung bestehender Backend Services und APIs - Sicherstellung einer hohen Skalierbarkeit der Services - Recherche und Evaluierung zukünftiger Technologien - Laufende Optimierung der Entwicklungsprozesse und CD-Pipeline - automate everything you can,weiterentwicklung bestehender backend service und apis sicherstellung einer hohen skalierbarkeit der service recherche und evaluierung zuk nftiger technologien laufende optimierung der entwicklungsprozesse und cd pipeline automate everything
Python-Programmierer (m/d/w),"Aktualisierung, Dokumentation bzw. Neuprogrammierung von ERP und kaufmännischen Apps * Selbständige Betreuung sowie Weiterentwicklung von internen Applikationen * Entwicklung von Geschäftsprozessen und deren Abbildung in Python-basierten Tools",aktualisierung dokumentation bzw neuprogrammierung von erp und kaufm nnischen apps selbst ndige betreuung sowie weiterentwicklung von internen applikationen entwicklung von gesch ftsprozessen und deren abbildung python basierten tool
Python Developer,Erstellen von zuverlässigem und wartbaren serverseitigem Code - Entwerfen und entwickeln neuer Softwarefunktionen - Schnittstellenentwicklung und Anbindung der Software an bestehende Systeme - Schreiben und pflegen automatisierter Unit- und Integrationstests … Django REST framework,erstellen von zuverl ssigem und wartbaren serverseitigem code entwerfen und entwickeln neuer softwarefunktionen schnittstellenentwicklung und anbindung der software bestehende systeme schreiben und pflegen automatisierter unit und integrationstests django rest framework
Team Lead Full Stack Development (m/f/x) Python and React/TypeScript,"Your role at Dynatrace * In the Workflow Automation team, we combine process automation capabilities with answer-driven performance monitoring, allowing our customers to fully automate … will mainly be working in a cloud-native environment with Python and React, while leveraging the whole toolbox of other … ",role dynatrace workflow automation team combine process automation capability answer driven performance monitoring allowing customer fully automate mainly working cloud native environment python react leveraging whole toolbox
Senior Python Developer (m/f/d),"Solide Kenntnisse in der Softwareentwicklung, erworben durch: Hochschulabschluss in Informatik, Ingenieurwesen oder einem verwandten Fach, Bootcamp für … Arbeitskenntnisse in: Python,TypeScript, Docker (bevorzugt) oder Git",solide kenntnisse der softwareentwicklung erworben durch hochschulabschluss informatik ingenieurwesen oder einem verwandten fach bootcamp f r arbeitskenntnisse python typescript docker bevorzugt oder git
Senior Software Entwickler- Python,"Solide Kenntnisse in der Softwareentwicklung, erworben durch: Hochschulabschluss in Informatik, Ingenieurwesen oder einem verwandten Fach, Bootcamp für … Arbeitskenntnisse in: Python,TypeScript, Docker (bevorzugt) oder Git",solide kenntnisse der softwareentwicklung erworben durch hochschulabschluss informatik ingenieurwesen oder einem verwandten fach bootcamp f r arbeitskenntnisse python typescript docker bevorzugt oder git
Stack Django Python Developer,"As a qualified candidate, you will enjoy requisite **independence** when implementing your solutions based on specifications from product management. You will **work in a team** with our C++ developer responsibe for the trading engine, with our front-end developers and our db/sys admin",qualified candidate enjoy requisite independence implementing solution based specification product management work team c developer responsibe trading engine front end developer db sys admin
IT-Lösungsentwickler:in mit Schwerpunkt Python/React,Wien-Leopoldstadt - req13945 - Jetzt bewerben - Wir möchten neue Wege gehen. Und neue Wege schaffen. Heute. Für morgen. Für uns. Werde auch Du Teil des #Team ÖBB … Arbeitest als Fullstack Entwickler mit Python/React und bist Teil des Service-Teams,wien leopoldstadt req jetzt bewerben wir chten neue wege gehen und neue wege schaffen heute f r morgen f r un werde auch du teil de bb arbeitest al fullstack entwickler mit python react und bist teil de service team
SAS/Python Developer for Implementation of Pilar I Methodologies (f/m/d),"The department of Retail Risk Analytics and Methodology (RRAM) and the related IT teams are in the process of transforming into an Adaptive Tribe setup, that … We are looking for an ambitious and service-oriented SAS/Python Developer who feels comfortable with technical challenges as well as with … ",department retail risk analytics methodology rram related team process transforming adaptive tribe setup looking ambitious service oriented sa python developer feel comfortable technical challenge well
Python Developer (M/W/D),"Software-Entwicklung und Projektabwicklung in den Bereichen Condition Monitoring und Predictive Maintenance - Mitarbeit in Projekten - Kommunikation mit KundInnen und LieferantInnen - UNSERE ANFORDERUNG - Abgeschlossene HTL, FH- oder Universitätsstudium in den Bereichen Informatik, Software-Engineering oder … ",software entwicklung und projektabwicklung den bereichen condition monitoring und predictive maintenance mitarbeit projekten kommunikation mit kundinnen und lieferantinnen unsere anforderung abgeschlossene htl fh oder universit tsstudium den bereichen informatik software engineering oder
Python Developer,"Erhebung der Anforderungen von unterschiedlichen Stakeholdern (z. B. Management, Data Science, Backend, Frontend) - Entwicklung von robustem, effizientem und wiederverwendbarem Code (Development) … Fundierte Programmierkenntnisse in Python",erhebung der anforderungen von unterschiedlichen stakeholdern z b management data science backend frontend entwicklung von robustem effizientem und wiederverwendbarem code development fundierte programmierkenntnisse python
Senior Python Backend Developer (m/w/x),Minimum 3 years of experience in software development with Python * Safe handling of the shell on Linux/Unix * git is your best friend * Previous experience with larger software projects * Degree in computer science or extensive work experience,minimum year experience software development python safe handling shell linux unix git best friend previous experience larger software project degree computer science extensive work experience
DevOps Python Engineer,Du baust CI/CD Pipelines mit Gitlab und Jenkins auf. Du agierst als Entwickler an systemnahen Python-Applikationen. Du besitzt Kenntnisse in der Containerisierung von Applikationen und im Betrieb von Docker-Containern. Du zeigst Interesse an der automatisierten Konfiguration unserer Entwicklungs- und … ,du baust ci cd pipeline mit gitlab und jenkins auf du agierst al entwickler systemnahen python applikationen du besitzt kenntnisse der containerisierung von applikationen und im betrieb von docker containern du zeigst interesse der automatisierten konfiguration unserer entwicklungs und
Senior Python Developer,"Collaborate closely with the product owner and other cross-functional teams, share best practise as well as discuss and motivate design solutions - Share what you have learned about crafting outstanding user experiences with your teammates, so we can all grow faster … Python",collaborate closely product owner cross functional team share best practise well discus motivate design solution share learned crafting outstanding user experience teammate grow faster python
Python Entwickler/in,Backend-Entwicklung mit Python & Django - Du hast die Möglichkeit on the job in viele verschiedene Themen einzutauchen und durch deine hohe Lernbereitschaft und deine proaktive Arbeitsweise dein … Erfahrungen mit Python & eventuell mit Django,backend entwicklung mit python django du hast die glichkeit job viele verschiedene themen einzutauchen und durch deine hohe lernbereitschaft und deine proaktive arbeitsweise dein erfahrungen mit python eventuell mit django
Python Developer (m/w/d),Dabei begleitest Du Projekte von der Konzeption über Applikationsarchitektur und -implementierung bis hin zum Release. Ein:e Projektmanager:in steht Dir bei uns immer helfend zur Seite und unterstützt Dich bei Deiner selbstständigen Arbeitsweise. Neben Python und Django liegt Dir auch TypeScript und Angular … ,dabei begleitest du projekte von der konzeption ber applikationsarchitektur und implementierung bi hin zum release ein e projektmanager steht dir bei un immer helfend zur seite und unterst tzt dich bei deiner selbstst ndigen arbeitsweise neben python und django liegt dir auch typescript und angular
Senior Python Developer Big Data,Report insights to clients & stakeholders - Design new product features with data science department based on customer requirements - Perform code reviews and provide tests for new code - Technologien und Skills - Python - SQL - Dask - Plotly,report insight client stakeholder design new product feature data science department based customer requirement perform code review provide test new code technologien und skill python sql dask plotly
Python Web Developer,Entwickeln von serverseitigen Codes und dazugehörigen APIs - Einfache User Interfaces für deine neuen Funktionen bauen - Schreiben von Testcases - DevOps für deine Services betreiben - Technologien und Skills - Git - Python - Docker … Qualifikationen,entwickeln von serverseitigen code und dazugeh rigen apis einfache user interface f r deine neuen funktionen bauen schreiben von testcases devops f r deine service betreiben technologien und skill git python docker qualifikationen
