title,description,job_url
Teamassistent*in - Bank, Die renommierte Bank mit zentral gelegenem und sehr gut erreichbarem Standort im Vorarlberger Unterland verstärkt ihr Team in der Firmenkundenberatung. Sie unterstützen die Firmenkundenberater*innen bei der Servicierung des bestehenden Kundenstamms und agieren als Schnittstelle zu den Fachabteilungen,https://www.metajob.at/dres/jc?p=000bdrqtnp7aj3
Financial Reporting - Back Office Mitarbeiter*in Bank,Maturant*innen und Jungakademiker*innen wird am Hauptsitz im Vorarlberger Unterland bzw. in der Zweigstelle in Wien diese Karrierechance geboten … Auswertungen und Berichte an Behörden und Ämter wie die österreichische Nationalbank oder die Finanzmarktaufsicht erstellen,https://www.metajob.at/dres/jc?p=000bdrqtlhzrdg
Assistent/in Private Banking (m/w/d),Vor- und Nachbereitung von Beratungsgesprächen - Organisation fehlender Informationen sowie deren Aufbereitung für die Berater/Innen - Schnittstelle zu diversen internen Fachabteilungen - Erteilen von telefonischen Auskünften sowie Terminvereinbarungen,https://www.metajob.at/dres/jc?p=000a57f5butshf
Mitarbeiter/in Kreditmanagement Banken & Leasing,"Laufendes Risikomanagement für Banken und Länder sowie Analyse und Risikobewertung von Linienanträgen - Vorbereitung von Entscheidungsvorlagen für interne Bankgremien inklusive Jahresvorlagen - Erstellen von Zweitvotums … Gute analytische Fähigkeiten sowie eigenverantwortliche, genaue und selbständige Arbeitsweise",https://www.metajob.at/dres/jc?p=000a57f5lk607z
Servicebetreuer (m/w/d),"Ihre Stärken liegen in der Betreuung und Servicierung der Kund:innen im Foyer, an den Selbstbedienungsgeräten und an der Kassa. Durch Ihr Fachwissen und Ihr persönliches Engagement positionieren Sie sich als erste Ansprechperson in Finanzangelegenheiten der Kund:innen und zeigen sich unmittelbar für die Kundenbeziehung und … ",https://www.metajob.at/dres/jc?p=000a5vwbn8ibnl
Junior Kreditsachbearbeiter:in Bank,"In dieser Position erstellen Sie individuelle, auf die Kundenerfordernisse abgestimmte Kreditvorlagen und in weiterer Folge die gesamten Kreditvertragsunterlagen (u.a. Kredit- und Sicherheitenverträge). Des Weiteren unterstützen Sie die Kundenberater bei der Betreuung der Kunden",https://www.metajob.athttps://karriere.sn.at/job/vertriebsassistent-aktiv-52239?utm_source=metajob.at&utm_medium=paid-link&utm_campaign=kat_B
Lehrling in der Bank | Kundenberater:in (m/w/d),"Du willst die Betreuung eines interessanten Kundenkreises übernehmen. Du wirst vielen Menschen helfen ihre Träume und Pläne zu verwirklichen. Begeistern Sie uns - mit Ihren Qualitäten - Du hast Dein 9 … Wir bieten Dir eine optimale Chance, um als Bankkaufmann/-frau durchzustarten",https://www.metajob.at/dres/jc?p=00fwskzmnhlb8z
Bankstellenleiter:in (w/m/d) - RB Schwechat,"Bankstelle Fischamend, Anstellungsart: Vollzeit - IHRE AUFGABEN: MEHR BEWEGEN - Wie Ihr Arbeitsalltag aussieht? Abwechslung statt Einheitsbrei. Ganzheitliche Betreuung und professionelle Beratung unserer Kunden - Akquisition von Neukunden und Aufbau neuer langfristiger Kundenbeziehungen",https://www.metajob.at/dres/jc?p=002n3bryzg04nd
Servicebetreuer (m/w/d),"Erste Ansprechperson für Kund:innen - Selbstständige Kassenführung, Abwicklung des Schaltergeschäftes und Zahlungsverkehrs - Servicierung der Kund:innen im Foyer und an den Selbstbedienungsgeräten - Kompetente Erledigung administrativer und organisatorischer Aufgaben",https://www.metajob.at/dres/jc?p=000ae32s4wg1bc
Junior Kreditsachbearbeiter:in Bank,"In dieser Position erstellen Sie individuelle, auf die Kundenerfordernisse abgestimmte Kreditvorlagen und in weiterer Folge die gesamten Kreditvertragsunterlagen (u.a. Kredit- und Sicherheitenverträge). Des Weiteren unterstützen Sie die Kundenberater bei der Betreuung der Kunden",https://www.metajob.at/dres/jc?p=00ci85mhf2gyn0
Social Banking Development (all genders) - limited contract,Location: Vienna - Working-Hours: Full-time - Occupation Area: Strategy / Research - Company: Erste Group Bank AG - Erste Group was founded in 1819 as the first Austrian savings bank and today it is one of the largest banking groups in Central and Eastern Europe (CEE),https://www.metajob.at/dres/jc?p=00786my9q3h8vj
Associate / Senior Associate (all genders) im Bereich Bankenprüfung mit Fokus Bankenaufsichtsrecht / Regulatory,"Bearbeitung bankaufsichtlicher Prüffelder im Rahmen von Jahresabschluss- oder Sonderprüfungen - Aktive Unterstützung der Bankprüfungsteams bei der Beantwortung bankaufsichtlicher Fragen … Grundkenntnisse im Bankenaufsichtsrecht (BWG/CRR, WAG, Geldwäschebestimmungen) von Vorteil",https://www.metajob.at/dres/jc?p=000a4tpmgoozp0
Private Banker (m/w/d),"Professionelle, umfassende sowie nachhaltige Beratung und Betreuung von vermögenden Privatkund:innen * Entwicklung und Aufbereitung maßgeschneiderter Veranlagungs- und Finanzierungslösungen … Mehrjährige Berufserfahrung im Private Banking",https://www.metajob.at/dres/jc?p=000a5vwb2pwcmo
Privatkundenbetreuer*in im gehobenen Kundensegment, … zeitgemäßer Produkt- und Dienstleistungsqualität hat sich unser Auftraggeber zu einem der größten und bekanntesten Akteure im heimischen Banksektor etabliert. Am Standort im Oberland / Großraum Bludenz gelangt diese chancenreiche Position zur Besetzung,https://www.metajob.at/dres/jc?p=000bdrqthdrx91
Private Banker:in (m/w/d),"Umfassende Betreuung bestehender Kund:innen im Top-Segment - Akquisition neuer Kundschaft mit dem Ziel nachhaltig erfolgreicher Zusammenarbeit … Austausch mit Kolleg:innen im Bereich Private Banking, die Klientel in anderen Regionen Österreichs betreuen",https://www.metajob.at/dres/jc?p=000a57f5jp7k9t
Bankstellenleiter:in (m/w/d),Wie Ihr Arbeitsalltag aussieht? Abwechslung statt Einheitsbrei. Ganzheitliche Betreuung und professionelle Beratung unserer Kunden - Akquisition von Neukunden und Aufbau neuer langfristiger Kundenbeziehungen … Repräsentation unserer Bank im Einzugsgebiet der Filiale,https://www.metajob.at/dres/jc?p=009190chq9oa87
Kreditsachbearbeiter/in für die Raiffeisenbank Schallmoos,In dieser Position erstellen und kontrollieren Sie verschiedene Kreditanträge und –verträge. Sie übernehmen die allgemeine Korrespondenz mit unseren Kunden und koordinieren Termine. Darüber hinaus sind Sie für die Verwaltung der Kundenakten zuständig und übernehmen administrative Aufgaben im Back Office,https://www.metajob.at/dres/jc?p=00dm4ty66c8wub
Traineeprogramm in der Bank (m/w/d),"Klagenfurt, Feldkirchen, Völkermarkt, Wolfsberg - Gestalte deine Zukunft - mit deinen Kompetenzen - Du lernst das Firmenkundengeschäft von Grund auf kennen … Du lernst durch „Training on the job“ und das umfangreiche Seminarangebot der Volksbank Akademie",https://www.metajob.at/dres/jc?p=00fwskzmwtqj6b
