,title,text,url
0,SAP Key User Finance / Bilanzbuchhalter (m/w/d),"SAP Key User Finance / Bilanzbuchhalter (m/w/d)
Vollzeit, unbefristet, Eintrittsdatum ab sofort möglich
Wels / Austria Unser Angebot Abwechslungsreiche Tätigkeit in einem internationalen Umfeld und tollem TEAM Sehr gute Weiterbildungsmöglichkeiten sowie Karriereperspektiven Mitarbeiter-Benefits wie z.B. Bistro, Gewinnbeteiligung, inhouse Yoga-Stunden, Fitnesszuschuss Sicherheit eines sehr erfolgreichen und finanzstarken Familienunternehmens KV chemische Industrie, Vollzeit (38 Wochenstunden), kein All In-Vertrag Home Office-Möglichkeit (bis zu 2 Tage in der Woche) Das Mindestbruttogehalt beträgt EUR 4.000,- monatlich. Das tatsächliche Gehalt richtet sich nach Ihrer Berufserfahrung und Qualifikation. Ihre Aufgaben
Wir bieten einer engagierten und ambitionierten Persönlichkeit vielseitige Aufgaben im Bereich Finance, woraus sich bei entsprechender Entwicklung tolle Karriereperspektiven ergeben können: Als zuküntiger SAP Key User Finance kümmern Sie sich um die Weiterentwicklung und proaktive Gestaltung der Geschäftsprozesse in SAP und bieten aktiven Support für unsere Tochtergesellschaften in Europa sowohl bei Roll-Outs als auch im laufenden Betrieb (Schulungen, aktive Mitarbeit beim Customizing). Sie sind für die Bilanzierung von Beteiligungsgesellschaften nach öUGB zuständig und führen in diesem Zusammenhang alle notwendigen Jahresabschlussarbeiten durch. Sie sind kompetenter Ansprechpartner für unsere externen Partner (Steuerberater, etc.). Sie erledigen selbstständig die Debitorenbuchhaltung von ausgewählten Kunden. Sie übernehmen diverse weitere bilanznahe Aufgaben (z.B. Beantragung von Forschungsprämien) und unterstützen Finance-seitig bei Projekten (z.B. FFG-Projekte). Ihr Profil Sehr gute SAP-Kenntnisse (Key User Level) Einschlägige Ausbildung sowie mind. 5 Jahre Berufserfahrung als Bilanzbuchhalter, idealerweise im internationalen Industrieumfeld Vertiefte Kenntnisse im öUGB und österreichischen Steuerrecht Engagiert, kundenorientiert, kommunikativ Strukturierte, analytische Arbeitsweise Reisebereitschaft Unser Angebot Abwechslungsreiche Tätigkeit in einem internationalen Umfeld und tollem TEAM Sehr gute Weiterbildungsmöglichkeiten sowie Karriereperspektiven Mitarbeiter-Benefits wie z.B. Bistro, Gewinnbeteiligung, inhouse Yoga-Stunden, Fitnesszuschuss Sicherheit eines sehr erfolgreichen und finanzstarken Familienunternehmens KV chemische Industrie, Vollzeit (38 Wochenstunden), kein All In-Vertrag Home Office-Möglichkeit (bis zu 2 Tage in der Woche) Das Mindestbruttogehalt beträgt EUR 4.000,- monatlich. Das tatsächliche Gehalt richtet sich nach Ihrer Berufserfahrung und Qualifikation. Sie möchten ein Teil der TIGER-Familie werden? Dann bewerben Sie sich gleich hier!
Bei Fragen zur Ausschreibung oder zum Bewerbungsprozess sind wir gerne für Sie da.
Hier ist Ihr direkter Draht zu TIGER: Tanja Öppinger | +43 7242 400-0 | Negrellistraße 36 | 4600 Wels
Du möchtest ein Teil der TIGER-Familie werden? Dann bewirb dich gleich hier!
Bei Fragen zur Ausschreibung oder zum Bewerbungsprozess sind wir gerne für dich da.
Hier ist dein direkter Draht zu TIGER: Tanja Öppinger | +43 7242 400-0 | Negrellistraße 36 | 4600 Wels
Jetzt online bewerben Mit karriere.at bewerben",https://www.itstellen.at/j/6398177
1,Product Manager (all genders) for Trade Finance,"Working with us means believing in the future; in the great people who are shaping it together every day and in the wide-ranging career paths it opens up. #believeinyourself Product Manager (all genders) for Trade Finance Location: Vienna Working-Hours: Full-time Occupation Area: Financial markets Company: Erste Group Bank AG Erste Group was founded in 1819 as the first Austrian savings bank and today it is one of the largest banking groups in Central and Eastern Europe (CEE). As an attractive employer, Erste Group offers interesting career opportunities in an international environment. Product Management for Trade, Export and Supply Chain Finance is part of Group Product and Business Management for Corporate & Markets for EBOe and Holding. The team works closely with Transaction Banking Sales in specific client cases and covers all tasks regarding product developments, ongoing product maintenance, support of the proper set-up in the systems for booking and controlling and training activities. Your Tasks Work together with the product managers on design and specification of new products & services and enhancement of existing ones Prepare and support product and budget approvals Deliver product descriptions, workflow descriptions and instructions, product pricing, product reporting, web-page and intranet display of the Trade Finance products Write, align and train guidelines on specific issues like for legal, tax or compliance purposes Support the sales team with input for sales pitches, marketing folders and answers to client requests Support in preparation and execution of product launch activities, including technical testing Responsibility for the screening of the product usage and definition of target client patterns for specific products Identify and implement service and quality improvement measures Offer an active service level management with business partners Observe and analyze the market environment and trends particularly in the Supply Chain Finance area and exchange knowledge with team colleagues Your Background 5 years working experience in banking or corporate Trade Finance department A university degree in either Economics and Business Administration, Law or Science/Technology, or equivalent business experience or qualification Experience and product knowledge in depth for standard Trade Finance products like guarantees and letter of credits Knowledge of structured Trade Finance products like inventory or commodity finance would be beneficial Strategic, conceptual and analytical thinking capabilities Precise and accurate working style and high quality orientation Team player and you have the ability to connect and establish working relationships with many parties quickly Fluent in German and English for both verbal and written communication, other language of Erste Group home market would be an advantage Our Offer An interesting and diversified field of activity in a dynamic and innovative team of transaction banking specialists You will be actively involved in the development, implementation and ongoing management of transaction banking products Insights into various areas of the banking business and you have the chance to follow a career path of continuous learning and development Discover and enjoy the benefits of Erste Group The minimum wage for this full-time position in accordance with the collective agreement with complete fulfillment of the functional profile is EUR 40.635,-- gross per year. But this is just a formality - we would be happy to talk about your actual salary in person! We offer our employees the opportunity to divide their hours between working from home and at the office. Erste Group considers the diversity of its employees as key to innovation and success. As employer we are proud to offer everyone equal chances, irrespective of age, skin colour, religious belief, gender, sexual orientation or origin. Apply online Jetzt bewerben",https://www.itstellen.at/j/6566810
2,(Senior) Consultant Core Banking Platform (m/f/x),"(Senior) Consultant Core Banking Platform (m/f/x)
Location: Vienna ICON | Tower Employment: Full-time | Effective immediately | Remote possible BearingPoint is Austria's largest management and technology consultancy. With 4,500 employees worldwide, we develop digital strategies and business models, optimize processes and design IT architectures for leading companies. We see ourselves as an important partner for our clients and accompany them on their successful journey into the digital age. In Austria we are represented by 300 employees at our locations in Vienna and Graz. We are constantly looking for the best minds for exciting national and international projects. Your future areas of responsibility include: Delivery of challenging core banking transformation and implementation projects of (inter)national financial service providers with the market leading experts Analysis of existing business value chains and IT landscapes as well as designing functional and technical target architectures and development of viable solution-based approaches Specialization in all aspects of core banking platform including vendor packages and contribution of the expertise across the entire project lifecycle - requirements, architecture, data models, interfaces and integrations Supporting the collaborative preparation of decision-making documents for top management Development of innovative end-to-end solutions Development and preparation of customer proposals as well as presentations Your qualifications: Completion of university degree (Bachelor, Master, MBA, Doctorate) in e.g. (business) informatics, business administration, mathematics, physics A fair understanding of banking functions and processes as well as core banking systems Experience with complex transformation projects - core banking system migration know-how is a plus, not a must Willingness to learn new banking topics and technologies Strong communication skills and commitment in working in a dynamic environment Reliable, analytical and independent way of working Willingness to travel nationally and internationally Good knowledge of German and English, both written and spoken Our offer: Professional diversity, a high degree of personal responsibility and a lively working atmosphere Individual and active career advancement supported by comprehensive training programs Inspiring projects at the interface of consulting and IT in different industries worldwide Laptop for professional and private use, meal vouchers (Sodexo) Flexible working hours and numerous additional benefits With us, you have the opportunity to actively influence your salary based on your individual performance. For this position it starts at EUR 3.500,- gross per month. We are prepared to offer a higher salary depending on your qualifications and experience. Have we aroused your interest? You can find further information at Finance und Regulatory. Let's grab lunch! Register for an informal exchange with one of our employees via CareerLunch.We look forward to receiving your application online or by e-mail.www.bearingpoint.com If you have any questions, please contact our recruiter Florian Lenz: +43 1 50632 5117 or people@bearingpoint.com BearingPoint, Wiedner Gürtel 13/ Turm 24, 1100 Wien Vienna 1 Klick-Bewerbung Jetzt bewerben",https://www.itstellen.at/j/5869793
3,Business Analyst for IT Delivery Accounting (f/m/d),"BUSINESS ANALYST FOR IT DELIVERY ACCOUNTING (F/M/D)
1030 Wien
Raiffeisen Digital Bank
Released:
23.12.2022 Are you interested in financial markets? Then your place is with us!
We are a team of professionals with a start-up culture in charge of one of the largest digital innovation projects in our banking group. We have plans to build new digital banking end-to-end customer journeys and to roll banking service out across multiple CEE countries. We are looking for a motivated candidate who supports our Finance team in Vienna as a: BUSINESS ANALYST FOR IT DELIVERY ACCOUNTING (F/M/D)
YOUR RESPONSIBILITIES Act as product owner for accounting to ensure a proper setup and operation of IT and business processes Preparation of booking rules for retail products in accordance with group standards and alignment with accounting colleagues Setting of agreed accounting rules in core banking system and subsequent testing of transactions and accuracy of respective bookings Shape the Finance IT architecture together with our IT and business experts Collection and alignment of IT requirements with stakeholders, maintenance, and prioritization of the product backlog YOUR QUALIFICATION Data analysis and processing skills - ideally experience in Jira, SQL, SAP and Mambu Prior experience in the Banking industry, IT-audit area or similar with IFRS/UGB knowledge Basic understanding of retail banking products (e.g. consumer loans, saving accounts, cards) Experience as a Product Owner or Business Analyst an asset Highly analytical and ability to clearly define requirements and prioritize requests Very good command of English and good German language skills appreciate OUR OFFER Depending on your concrete skills and experience we offer a compensation package starting from gross EUR 50,000.00 p.a. including overtime (All-In). Company benefits include home office possibility, job ticket, RCB vouchers, corporate benefit world, subsidized canteen and a lot more A stable work environment within an innovative field of business with plenty of room for you to bring in your ideas and to grow professionally Due to the restructuring of our digital applying process we are currently only able process applications we receive via mail. Let us know you are interested and send us your application to jobs@raiffeisendigital.com. ABOUT RAIFFEISEN Digital Bank
Raiffeisen Digital Bank AG is a subsidiary of Raiffeisen Bank International AG, based in Vienna, and offers digital banking products and services in Central and Eastern Europe. We made it our mission to create a trusted bank with a truly human touch that meets customers' basic needs quickly and easily. We are proud of what we have achieved so far and have very ambitious goals for the future. Those where everything comes together, those who shape our past and our future: The team! We are proud of the diversity of our employees. Equal opportunities are a matter of course for us. Our career paths are accessible to all - regardless of origin, sexual orientation, culture, gender, age, political or religious conviction or disability. Raiffeisen Digital Bank AG Member of RBI Group Am Stadtpark 9, 1030 Vienna, Austria Apply now via jobs@raiffeisendigital.com! Mit karriere.at bewerben",https://www.itstellen.at/j/6570467
4,(Junior) IT-Consultant Banking (m/w/x),"(Junior) IT-Consultant Banking (m/w/x)
Standort: Wien, ICON TOWER | Anstellung: Vollzeit | ab sofort BearingPoint ist eine der führenden internationalen Management- und Technologieberatungen, die Beratungs Know How und IT Kompetenz auf einzigartige Weise vereint. Mit weltweit 4.300 Mitarbeiter:innen entwickeln wir digitale Strategien und Geschäftsmodelle, optimieren Prozesse und konzipieren IT-Architekturen für führende Unternehmen aller Branchen und Organisationen der öffentlichen Hand. Wir verstehen uns als wichtiger Partner unserer Kund:innen und begleiten diese nachhaltig auf ihrem erfolgreichen Weg ins digitale Zeitalter. In Österreich sind wir mit 300 Mitarbeiter:innen an den Standorten Wien und Graz vertreten. Wir suchen laufend die besten Köpfe für unsere spannenden nationalen und internationalen Projekte. Du berätst unsere Kund:innen aus dem Firmen-Büro, Home-Office, oder direkt beim Kunden oder der Kundin vor Ort im Hinblick auf die digitale Transformation in der Bankenwelt, bei der du eine wichtige Position übernimmst. Du arbeitest dabei zusammen mit einem agilen und leistungsstarken Team zusammen, das aus Developern, Software-Architekten, und Consultants besteht. Mit dessen Unterstützung erarbeitest du gemeinsam Strategien zur digitalen Transformation in den jeweiligen Bereichen (wie z.B. Controlling, Risk Management, Accounting). Deine Aufgaben: Schnittstellenfunktion zwischen Fach-, IT-Abteilung und Softwareentwicklung Technologische Beratung und Evaluierung der Einsetzbarkeit von Softwarelösungen im Banking Konzipierung technischer Lösungen in Zusammenarbeit mit unseren branchenführenden Kund:innen Unterstützung unsere Kund:innen bei Digitalisierung und Transformationsprojekten sowie deren Einsetzbarkeit Analyse von daten-/softwarebezogenen Problemen, Prozessunterstützung vor Ort bei Kund:innen Damit punktest du bei uns: Abgeschlossenes Studium der (Wirtschafts-) Informatik, Informationswissenschaften o.Ä. Kenntnisse in relationalen Datenbanksystemen und SQL Erste Erfahrungen mit Programmiersprachen (VBA, Java, JavaScript, C, C++, etc.) Hohe IT-Affinität und Bereitschaft zur Aneignung neuer Technologien (Event Streaming, Cloud, RPA, etc.) Ausgeprägte kommunikative Kompetenz, sowie Freude am Arbeiten in einem dynamischen Umfeld Zuverlässige, analytische und selbstständige Arbeitsweise Bereitschaft zu nationaler und internationaler Reisetätigkeit Gute Deutsch- und Englischkenntnisse in Wort und Schrift Damit punkten wir bei dir: Berufliche Vielfalt, hohe Eigenverantwortung und gelebtes Miteinander sowie Fokus auf Nachhaltigkeit Individuelle und aktive Karriereförderung unterstützt durch umfassende Trainings- und Weiterbildungsprogramme Inspirierende Projekte an der Schnittstelle Consulting und IT in unterschiedlichen Branchen weltweit Laptop (Windows oder MacBook) für den beruflichen und privaten Gebrauch, Essensgutscheine im Wert von 8EUR (Sodexo) und Übernahme des Jobtickets / Zuschuss Klimaticket Flexible Homeoffice- und Arbeitszeitgestaltung, ortsunabhängiges Arbeiten und zahlreiche zusätzliche Benefits Du hast bei uns die Möglichkeit, basierend auf deiner individuellen Leistung aktiv dein Gehalt zu beeinflussen. Dieses startet bei EUR 3.000,- brutto pro Monat. Gerne sind wir bereit je nach Qualifikation und Erfahrung ein höheres Gehalt anzubieten. Haben wir dein Interesse geweckt? Weitere Informationen findest du unter Finance und Regulatory Let's grab lunch! Registriere dich für einen informellen Austausch mit unseren Mitarbeiter:innen über CareerLunch. Wir freuen uns auf deine Bewerbung online oder per Mail. www.bearingpoint.com Bei Fragen steht dir unser Recruiter Florian Lenz gerne zur Verfügung: +43 1 50632 5117 oder people@bearingpoint.com BearingPoint, Wiedner Gürtel 13/Turm 24, 1100 Wien 1 Klick-Bewerbung Jetzt bewerben",https://www.itstellen.at/j/6026236
5,Accounting Specialist (f/m/d),"Accounting Specialist (f/m/d)
1030 Wien
Raiffeisen Digital Bank
Released:
31.01.2023 Are you interested in financial markets? Then your place is with us!
We are a team of professionals with a start-up culture in charge of one of the largest digital innovation projects in our banking group. We have plans to build new digital banking end-to-end customer journeys and to roll banking service out across multiple CEE countries. We are looking for a motivated candidate who supports our Finance team in Vienna as a: ACCOUNTING SPECIALIST (F/M/D)
YOUR RESPONSIBILITIES Act as a product owner for accounting to ensure a proper setup and operation of processes Preparation of booking rules for retail products in accordance with group standards and alignment with accounting colleagues Setting of agreed accounting rules in core banking system and subsequent testing of transactions and accuracy of respective bookings Shape the Finance IT architecture together with our IT and business experts Collection and alignment of IT requirements with stakeholders, maintenance, and prioritization of the product backlog YOUR QUALIFICATION Data analysis and processing skills - ideally experience in Jira, SAP and/or Mambu IFRS knowledge is a must, UGB knowledge is an asset Prior experience in the Banking industry, audit area or similar Basic understanding of retail banking products (e.g. consumer loans, saving accounts, cards) Highly analytical and ability to clearly define requirements and prioritize requests Very good command of English and good German language skills appreciated OUR OFFER Depending on your concrete skills and experience we offer a compensation package starting from gross EUR 50,000.00 p.a. including overtime (All-In). Company benefits include home office possibility, job ticket, RDB vouchers, corporate benefit world, subsidized canteen and a lot more A stable work environment within an innovative field of business with plenty of room for you to bring in your ideas and to grow professionally ABOUT RAIFFEISEN DIGITAL BANK
Raiffeisen Digital Bank AG is a subsidiary of Raiffeisen Bank International AG, based in Vienna, and offers digital banking products and services in Central and Eastern Europe. We made it our mission to create a trusted bank with a truly human touch that meets customers' basic needs quickly and easily. We are proud of what we have achieved so far and have very ambitious goals for the future. Those where everything comes together, those who shape our past and our future: The team! We are proud of the diversity of our employees. Equal opportunities are a matter of course for us. Our career paths are accessible to all - regardless of origin, sexual orientation, culture, gender, age, political or religious conviction or disability. Raiffeisen Digital Bank AG Member of RBI Group Am Stadtpark 9, 1030 Vienna, Austria Apply now via jobs@raiffeisendigital.com! Mit karriere.at bewerben",https://www.itstellen.at/j/6614999
6,Manager Digital Support m/w/x,"DON´T LIMIT YOUR CHALLENGES - CHALLENGE YOUR LIMITS
Manager Digital Support
m/w/x • Homeoffice-Möglichkeit • Klagenfurt am Wörthersee
SCHNELLER, FLEXIBLER, BESSER. WIR SETZEN NEUE BANKSTANDARDS. DAZU SUCHEN WIR MACHER UND GESTALTER!
Bankinnovationen entstehen hier! Die Anadi Bank AG ist eine Challengerbank mit den Geschäftssegmenten Retail Banking, Digital Banking, Corporate Banking und Public Finance. anadibank.com Auszeichnungen cfi 2021 - Best Digital Banking Solution Winner Austria ÖGVS Testsieger Online-Ratenkredite (Test 12/2021, im Test: Konditionen & Service) Innovativste Bank Österreichs: Branchenranking vom Fachmagazin Börsianer Hier können Sie Erfolg gestalten Betreuung und Unterstützung von Vertriebspartner:innen (Trafikant:innen, Finanzdienstleister:innen, Kreditvermittler:innen etc.) unter Anwendung unterschiedlichster Systeme Kundenfreundliche Bearbeitung von Kundenanfragen (Telefon, E-Mail, Chat, Live-Support) Unterstützung der Kunden bei diversen Kontoservices, bei den digitalen Produkten und Prozessen der Bank 1st Level Support für unsere e-Banking-Lösungen Bearbeitung eines breiten Spektrums an Kundenthemen im digitalen Kontext Arbeiten mit modernen Tools für die täglichen, anspruchsvollen Herausforderungen Eine gute Basis für Ihre Karriere Abgeschlossene Schulausbildung mit Matura Technikaffinität und Interesse an den neuesten Techniktrends Hohe Affinität zu digitalen Inhalten und Bereitschaft, Neues zu lernen Innovationsgeist Zielstrebigkeit und lösungsorientiertes Arbeiten Kundenorientiertes Denken und Freude am Umgang mit Menschen Kommunikationsstärke Zuverlässigkeit und Teamfähigkeit Setzen Sie den ersten Schritt in die Welt der Bankinnovationen
Für Rückfragen zur ausgeschriebenen Position wenden Sie sich bitte an: Frau Sarah Grießer, BA, Tel. 050202 DW 2396 Erforderliche Angaben gem. § 9 GleichbehandlungsG: Mindestbruttogehalt EUR 33.556,46 p.a. - Überzahlung je nach Qualifikation und Berufserfahrung. Jetzt bewerben",https://www.itstellen.at/j/6642542
7,Data Governance & Security Analyst m/w/x,"DON ́T LIMIT YOUR CHALLENGES - CHALLENGE YOUR LIMITS
Data Governance & Security Analyst
m/w/x • Homeoffice-Möglichkeit • Klagenfurt oder Wien
SCHNELLER, FLEXIBLER, BESSER. WIR SETZEN NEUE BANKSTANDARDS. DAZU SUCHEN WIR MACHER UND GESTALTER!
Bankinnovationen entstehen hier! Die Anadi Bank AG ist eine Challengerbank mit den Geschäftssegmenten Retail Banking, Digital Banking, Corporate Banking und Public Finance. anadibank.com Auszeichnungen cfi 2021 - Best Digital Banking Solution Winner Austria ÖGVS Testsieger Online-Ratenkredite (Test 12/2021, im Test: Konditionen & Service) Innovativste Bank Österreichs: Branchenranking vom Fachmagazin Börsianer Hier können Sie Erfolg gestalten Aufbau von Lösungen in den Bereichen Business Intelligence, (Meta)Data Management und Data Analytics Datenmodellierung und Unterstützung bei Datenvisualisierung (z. B.: PowerBI) Identifikation von Defiziten der Datenqualität in Datenquellen und fehlender Metadaten im Metadatenmanagement-Tool Umsetzung der strategischen Vorgaben der Data Governance Erstellen und Pflegen notwendiger Dokumentationen im Zusammenhang mit (Meta) Data Management und Data Governance Eine gute Basis für Ihre Karriere Abgeschlossenes Informatik- oder Wirtschaftsstudium oder vergleichbare Ausbildung Mehrjährige Erfahrung im Bereich Datenselektionen, optimalerweise im Bank-, Dienstleistungs-, bzw. Versicherungswesen Tiefgreifende Kenntnisse und mehrjährige Erfahrung in der Datenbankentwicklung und/oder Datenanalyse Fundierte SQL-Kenntnisse und Erfahrung mit Datenbanken Sehr gute Kommunikationsfähigkeiten Deutsch auf hohem Niveau in Wort und Schrift, sowie sehr gute Englischkenntnisse Sehr gute IT-Anwenderkenntnisse, insbesondere MS-Office Ausgeprägtes Zahlenverständnis sowie sehr gute analytische Fähigkeiten Zielorientiertes Denken sowie Zuverlässigkeit und Genauigkeit Teamfähig, strukturiert und serviceorientier Setzen Sie den ersten Schritt in die Welt der Bankinnovationen
Für Rückfragen zur ausgeschriebenen Position wenden Sie sich bitte an: Frau Angelika Lang, MSc, Tel. 050202 DW 6946. Erforderliche Angaben gem. § 9 GleichbehandlungsG: Mindestbruttogehalt EUR 40.000 p.a. - Überzahlung je nach Qualifikation und Berufserfahrung. Jetzt bewerben",https://www.itstellen.at/j/6623384
8,"Student Job (f/m/x ) - Financial Institutions Analysis Dept, FCPM (20hrs/week)","Studentenjob (f/m/x) - Financial Institutions Analysis Dept, FCPM (20h/Woche)
You're in the middle of your studies and you think: I'd like to get some hands-on experience. It would be good to work with experienced colleagues in finance area. It certainly would add points on my CV - or my bank balance, for that matter. If this sounds like you, then take a look at our job opportunities for students and get to know the international world of banking. as soon as
possible part-time
(20h/week) viennaoffice Your role with us in the team: Support in analyzing current news on banks, financial institutions companies and banking markets in CEE and other European countries Monitoring banking news on the key European markets Assisting with financial spreadings and analysis Participating in the preparation of rating analysis for banks and other types of FIs Insight on the daily work of rating analysis for Financial institutions for the CEE region and other European countries This job is made for you, if ... You are actively studying at a university or university of applied sciences in the field of finance, statistic or similar You have a good understanding of financial statements, and basic principles of banking theory You have good quantitative skills (e.g experience/learning in quantitative analysis, coding skills in R or Python or SQL, , working with databases, etc) You have very good Microsoft Office skills (Word, PowerPoint; Excel) You have an excellent command of English, good command of German is a plus What's in it for you? Extensive learning of credit analysis for banks and financial institutions in multi-country domain Get trained on basic risk management principles within banks and financial institutions domain Work & Study: gain experience in the international banking environment & boost the balance of your bank account Flexibility: adapt your working hours to your university schedule and balance on-site and home-office days Onboarding: enjoy an easy start - a buddy from your team will take you along Community: network internally with other students Canteen: healthy, tasty, and heavily subsidized Corporate Benefits: shopping vouchers from the staffs' council (eg. supermarkets), free museum tickets, attractive sports offers, reduced fitness center membership, free public transport pass etc. We pay an attractive monthly student salary of gross EUR 2,049.64 (on a basis of 38.5 hours) Would you like to know what it feels like working for RBI while studying? Check out our videos and see what your future colleagues say about us. At Raiffeisen Bank International, we are pleased to have more than 17 million customers in Austria and 12 other CEE countries - what got us here, are our talented people. From the moment you join RBI, you will notice our commitment to creating a working environment where everyone can thrive. Diversity and inclusion are essential components of our vision and mission and are reflected in our values: collaboration, proactivity, learning and responsibility. Our shared mission is to provide a superior customer experience by tackling new issues such as digitalization and changing needs. For questions regarding our application process, please feel free to take a look on our website our check out our FAQ. If you have any other questions, feel free to contact Cara Vucinic. Check out our RBI Account on LinkedIn! Jetzt bewerben",https://www.itstellen.at/j/6608660
9,Internship (f/m/x) - Corporate Customers Digital,"Internship (f/m/x) - Corporate Customers Digital
You're in the middle of your studies and you think: I am willing to balance my studies with relevant work experience in a highly dynamic team. It certainly wouldn't do my CV any harm - or my bank balance, for that matter.
If this sounds like you, then take a look at this exciting job opportunity and get to know the international world of banking. We are looking for an active student (f/m/x) for an internship starting in March/April 2023 (fulltime, duration 6 months). start as soon
as possible full-time
(38.5h / week) viennaoffice
These tasks are waiting for you Support of Corporate Relationship Managers working with clients in the digital industries (technology, online, media, telecom) Support of Corporate Customer Division Mid-Office with daily operational and administrative tasks Assistance in the development of existing client portfolios and acquisitions of new clients Preparation of Limit reviews/applications, company ratings, etc. General office support This job is made for you, if... you are an active student in the field of economics or related courses (International Business, International Trade, Finance) you have an excellent command of English and German; additional CEE language is a plus you have good knowledge of MS-Office you are an analytical thinker and solve problems creatively you are able to work in a multicultural environment What's in it for you? Work & Study: gain experience in the international banking environment & boost the balance of your bank account Flexibility: adapt your working hours to your university schedule and balance on-site and home-office days Onboarding: enjoy an easy start - a buddy from your team will take you along Community: network internally with other students Canteen: healthy, tasty, and heavily subsidized Corporate Benefits: shopping vouchers from the staffs' council (eg. supermarkets), free museum tickets, attractive sports offers, etc. We pay an attractive monthly student salary of gross EUR 2,049.64 (on a basis of 38.5 hours) Would you like to know what it feels like working for RBI while studying? Check out our videos and see what your future colleagues say about us. At Raiffeisen Bank International, we are pleased to have more than 17 million customers in Austria and 12 other CEE countries - what got us here, are our talented people. From the moment you join RBI, you will notice our commitment to creating a working environment where everyone can thrive. Diversity and inclusion are essential components of our vision and mission and are reflected in our values: collaboration, proactivity, learning and responsibility. Our shared mission is to provide a superior customer experience by tackling new issues such as digitalization and changing needs. For questions regarding our application process, please feel free to take a look on our website our check out our FAQ. If you have any other questions, feel free to contact Cara Vucinic. Check out our RBI Account on LinkedIn! Jetzt bewerben",https://www.itstellen.at/j/6622721
